stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
FIRENZE S.M.N.,,4.088998929336189,2.0,95,7472,3074,2042,919
FOGGIA,,7.322799097065463,4.0,37,2658,1387,1047,581
FRASSO T. DUGENTA,,18.0,18.0,1,1,1,1,1
GENOVA BRIGNOLE,,3.896362388469458,1.0,18,1457,456,327,165
JESI,,2.2083333333333335,-1.0,2,168,36,25,16
LA SPEZIA CENTRALE,,4.351824817518248,3.0,18,1370,605,382,142
LATISANA LIGNANO B.,,2.5131964809384164,1.0,5,341,91,61,18
LECCE,,4.359696641386782,0.0,13,923,323,265,170
LIVORNO CENTRALE,,4.351851851851852,2.0,11,864,339,220,85
MARATEA,,6.651162790697675,4.0,2,172,89,64,38
MILANO CENTRALE,,6.118367346938776,3.0,89,6860,2926,2176,1288
MILANO ROGOREDO,,4.555678793256433,2.0,58,4508,1737,1235,606
MODENA,,8.50233644859813,6.0,21,1712,1210,961,503
MONTECALVO BUONALBERGO CASALB.,,27.333333333333332,28.0,1,3,3,3,3
NAPOLI CENTRALE,,5.786794130724767,3.0,61,4498,2047,1587,919
ORSARA DI PUGLIA,,73.0,58.0,1,2,2,2,2
ORTE,,0.14201183431952663,-2.0,2,169,28,19,9
PADOVA,,2.2542638357117997,0.0,69,5746,1207,772,360
PALAZZOLO SULL`OGLIO,,-2.03125,-3.0,3,32,3,0,0
PAOLA,,2.046511627906977,-1.0,18,1376,363,259,144
PAVIA,,6.177464788732395,4.0,5,355,189,130,59
PORTOGRUARO CAORLE,,1.5277777777777777,1.0,2,180,34,14,7
POTENZA CENTRALE,,0.14285714285714285,-3.0,2,77,7,6,5
RAPALLO,,8.0,7.0,6,33,25,19,9
RAVENNA,,5.686746987951807,2.0,1,83,31,19,12
RHO FIERA MILANO,,4.060215053763441,2.0,24,1395,506,305,146
RICCIONE,,9.867605633802818,6.0,7,355,223,188,122
RIMINI,,5.145361265498076,2.0,30,2339,1005,825,543
RIMINIFIERA,,9.944444444444445,5.0,12,126,78,63,42
ROMA S.PIETRO,,2.0,0.0,4,4,2,0,0
ROMA TIBURTINA,,3.141520467836257,1.0,99,7695,2365,1626,792
ROSARNO,,4.113787375415282,1.0,16,1204,364,267,127
ROVERETO,,4.573473282442748,4.0,12,1048,538,316,89
S. DONA` DI PIAVE,,-0.9337016574585635,-2.0,3,181,29,16,8
S.BENEDETTO DEL TRONTO,,9.162650602409638,5.0,12,996,587,469,289
SALERNO,,2.9123931623931623,0.0,28,2340,743,599,363
SARZANA,,4.126436781609195,3.0,2,174,79,51,16
SCALEA S.DOMENICA TALAO,,6.8664772727272725,4.0,6,352,204,144,72
SIBARI,,8.741176470588234,6.0,1,85,47,44,31
TERMOLI,,6.102367242482406,2.0,21,1563,687,549,361
TERNI,,4.042553191489362,0.0,2,94,24,17,11
TORINO LINGOTTO,,1.8491620111731844,1.0,2,179,38,27,10
TREVISO C.,,1.9498525073746313,0.0,4,339,72,35,12
TRIESTE AIRPORT,,1.3565891472868217,-1.0,7,516,91,57,24
UDINE,,0.030303030303030304,-2.0,2,165,23,15,10
VALLE DI MADDALONI,,42.0,41.0,1,3,3,3,3
VENEZIA MESTRE,,1.5346752368064953,0.0,72,5912,948,590,324
VENEZIA SANTA LUCIA,,2.7864992150706436,1.0,33,2548,558,351,209
VERONA PORTA NUOVA,,3.7843691148775895,2.0,51,4248,1625,1032,385
VIAREGGIO,,5.274157303370787,3.0,11,890,445,308,112
VIBO VALENZIA PIZZO,,4.334763948497854,1.0,8,699,203,153,75
