stop_name,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
BUONCONVENTO,Fri,0.4453125,0.0,12,128,14,5,2
BUSA DI VIGONZA,Fri,4.0,1.0,2,2,1,1,0
BUSALLA,Fri,-0.4802158273381295,-1.0,47,556,36,19,9
BUTTAPIETRA,Fri,4.203125,3.0,7,64,23,13,2
CADEO,Fri,2.235955056179775,0.0,7,89,15,8,3
CAGLIARI,Fri,1.076607387140903,0.0,77,731,81,48,29
CALCIO,Fri,43.333333333333336,36.0,3,3,3,3,3
CALDERARA-BARGELLINO,Fri,3.495114006514658,2.0,60,614,167,77,24
CALDE`,Fri,5.07492795389049,4.0,31,347,188,120,24
CALTANISSETTA XIRBI,Fri,1.747228381374723,0.0,54,451,76,39,20
CALUSCO,Fri,6.081836327345309,5.0,40,501,349,241,55
CAMAIORE LIDO CAPEZZANO,Fri,10.5,9.0,2,2,2,2,1
CAMPO DI CARNE,Fri,1.8186813186813187,1.0,58,546,116,49,7
CAMPOBELLO RAVANUSA,Fri,4.348484848484849,3.0,6,66,28,16,7
CAMPOSAMPIERO,Fri,0.6866952789699571,0.0,104,932,73,41,9
CANDELA,Fri,5.448717948717949,4.0,8,78,43,32,10
CANDELO,Fri,1.9285714285714286,1.0,14,14,1,1,1
CAPALBIO,Fri,1.1235955056179776,0.0,23,267,42,18,9
CAPANNELLE,Fri,2.058466211085801,2.0,130,1317,290,116,20
CAPISTRELLO,Fri,1.6058394160583942,1.0,14,137,13,5,2
CARONIA,Fri,1.0756756756756756,1.0,21,185,21,10,4
CARRARA AVENZA,Fri,13.733333333333333,12.0,10,15,14,13,8
CARRUBA,Fri,14.0,11.0,3,3,2,2,2
CASALBORDINO POLLUTRI,Fri,14.0,14.0,1,1,1,1,1
CASALBUTTANO,Fri,3.7367256637168142,1.0,44,452,144,99,47
CASALGRANDE,Fri,1.2682926829268293,1.0,16,123,18,9,3
CASALMAGGIORE,Fri,3.929113924050633,3.0,33,395,170,100,30
CASALPUSTERLENGO,Fri,4.911798396334479,2.0,74,873,309,209,86
CASARSA,Fri,1.9255765199161425,1.0,92,954,188,86,24
CASLINO AL PIANO,Fri,0.002902757619738752,0.0,58,689,0,0,0
CASORIA,Fri,2.0169875424688564,1.0,84,883,169,108,49
CASTAGNETO CARDUCCI,Fri,4.857142857142857,5.0,5,7,4,3,0
CASTAGNO,Fri,1.9733333333333334,1.0,12,150,21,4,3
CASTEGNATO,Fri,0.011029411764705883,0.0,33,272,0,0,0
CASTEL LAGOPESOLE,Fri,3.5887323943661973,2.0,35,355,102,48,19
CASTEL S.GIORGIO ROCCAPIEMONTE,Fri,5.0,5.0,1,1,1,0,0
CASTELBOLOGNESE,Fri,3.6856899488926746,2.0,109,1174,417,269,102
CASTELDARNE,Fri,0.23469387755102042,0.0,9,98,10,3,1
CASTELFRANCO VENETO,Fri,0.8482293423271501,1.0,179,1779,173,65,18
CASTELLAMMARE DI STABIA,Fri,0.6,0.0,7,15,1,1,0
CASTELLANETA MARINA,Fri,3.78,1.0,5,50,14,11,6
CASTELLO DI GODEGO,Fri,0.942381562099872,1.0,64,781,127,44,6
CASTELLUCCHIO,Fri,5.122448979591836,3.0,27,343,154,109,52
CASTELVECCHIO PASCOLI,Fri,3.2857142857142856,3.0,15,126,44,19,2
CASTIGLIONCELLO,Fri,5.142857142857143,4.0,10,14,8,4,2
CASTIGLIONE COSENTINO,Fri,0.7856115107913669,1.0,62,695,54,33,8
CASTRONNO,Fri,3.0190703218116806,2.0,71,839,213,116,47
CATANIA OGNINA,Fri,23.0,16.0,2,2,2,2,2
CATANZARO,Fri,3.7485380116959064,3.0,35,342,149,75,8
CEGGIA,Fri,20.0,4.0,2,2,2,1,1
CENTALLO,Fri,2.4521739130434783,1.0,55,460,98,43,16
CEREA,Fri,2.784313725490196,2.0,23,204,44,16,5
CERIALE,Fri,9.0,1.0,2,2,1,1,1
CERIGNOLA,Fri,3.178649237472767,2.0,53,459,155,91,23
CERTALDO,Fri,3.2635983263598325,2.0,68,717,251,128,28
CESATE,Fri,0.5256198347107438,0.0,101,1210,55,14,2
CESENATICO,Fri,3.4514672686230248,1.0,53,443,98,65,33
CHATILLON SAINT VINCENT,Fri,2.2986725663716814,2.0,70,452,113,52,20
CHIARI,Fri,19.428571428571427,10.0,7,7,6,6,3
CHIETI-MAD.D.P.,Fri,5.8053097345132745,4.0,35,339,241,118,22
CIAMPINO,Fri,1.11003861003861,1.0,213,2072,293,109,30
CISTERNA DI LATINA,Fri,1.8183118741058655,1.0,77,699,136,75,23
CITTADELLA,Fri,0.11603053435114503,0.0,61,655,50,23,8
CIVIDATE - MALEGNO,Fri,0.021897810218978103,0.0,19,137,0,0,0
CIVITAVECCHIA,Fri,2.4486301369863015,1.0,77,876,201,128,59
CIVITELLA ROVETO,Fri,1.7456140350877194,1.0,12,114,21,11,2
CLASSE,Fri,5.5863874345549736,2.0,20,191,66,40,18
COCCAGLIO,Fri,3.1315789473684212,1.0,41,494,139,78,24
COCQUIO - TREVISAGO,Fri,0.0024630541871921183,0.0,34,406,0,0,0
COCULLO,Fri,1.0,-1.0,10,44,6,5,4
CODIGORO,Fri,3.962962962962963,4.0,9,81,42,12,2
CODISOTTO,Fri,0.0,0.0,1,1,0,0,0
COLICO,Fri,3.1206896551724137,2.0,68,812,207,127,50
COLLECCHIO,Fri,3.2990867579908674,2.0,38,438,132,76,29
COLLEGNO,Fri,1.2206521739130434,0.0,96,920,133,83,23
COLLI DI MONTE BOVE,Fri,3.5161290322580645,2.0,6,62,17,6,2
CONDOFURI,Fri,2.8091603053435112,2.0,11,131,37,18,3
CONEGLIANO,Fri,0.9188134270101483,0.0,131,1281,169,89,30
CONTIGLIANO,Fri,3.82312925170068,3.0,34,294,117,60,12
CORBETTA S. STEFANO,Fri,6.904761904761905,7.0,19,21,17,15,3
CORIGLIANO CALABRO,Fri,4.654545454545454,3.0,24,275,128,83,35
COSENZA,Fri,0.5086206896551724,-1.0,31,348,37,21,4
COSSATO,Fri,1.165016501650165,1.0,44,303,58,28,3
COTIGNOLA,Fri,5.375,3.0,2,24,9,2,2
CUCCIAGO,Fri,4.666666666666667,4.0,8,9,5,3,1
CUPONE,Fri,1.0,0.0,2,2,0,0,0
CUPRAMARITTIMA,Fri,3.297592997811816,2.0,47,457,137,79,28
CUSANO,Fri,11.0,11.0,1,1,1,1,1
CUTRO,Fri,11.04,6.0,2,25,21,14,8
Cantello Gaggiolo,Fri,0.673202614379085,-1.0,51,612,70,25,9
DITTAINO,Fri,1.8407079646017699,-1.0,21,113,19,14,7
DOBBIACO,Fri,0.9797979797979798,1.0,9,99,7,5,3
DONNAFUGATA,Fri,3.7096774193548385,2.0,9,93,29,24,14
DUEVILLE,Fri,2.1065375302663436,1.0,35,413,60,23,5
ERBA,Fri,0.0024630541871921183,0.0,36,406,0,0,0
FALCIANO MONDRAGONE CAR.,Fri,4.225352112676056,2.0,57,497,170,122,55
FANO,Fri,2.5207496653279784,1.0,65,747,202,117,39
FANZOLO,Fri,2.0,1.0,47,325,49,14,5
FELIZZANO,Fri,2.005714285714286,2.0,19,175,33,11,2
FEROLETO ANTICA PIANOPOLI,Fri,5.666666666666667,7.0,2,3,2,2,0
FERRANDINA,Fri,3.544776119402985,2.0,11,134,40,29,15
FIERA DI ROMA,Fri,3.2254449571522743,3.0,126,1517,476,157,24
FIESOLE CALDINE,Fri,2.160416666666667,2.0,46,480,101,52,18
FIGLINE VALDARNO,Fri,3.2063882063882065,2.0,117,1221,396,233,65
FINALE LIGURE MARINA,Fri,3.653225806451613,2.0,76,744,287,184,51
FIORENZUOLA,Fri,2.879474940334129,1.0,71,838,203,134,61
FISCIANO,Fri,1.7701149425287357,1.0,27,261,51,28,6
FOLIGNO,Fri,2.441860465116279,1.0,63,688,167,109,51
FOLLONICA,Fri,2.143911439114391,1.0,50,542,125,77,30
FORLI`,Fri,3.280330882352941,1.0,93,1088,329,245,122
FORMIGINE,Fri,2.283333333333333,2.0,20,180,33,10,0
FOSSACESIA - TORINO DI SANGRO,Fri,1.6953125,1.0,22,256,53,33,8
FRANCAVILLA FONTANA,Fri,2.792207792207792,1.0,20,231,50,34,17
FRANCIA,Fri,0.6912242686890574,0.0,110,923,41,15,7
FRANCIOSA,Fri,4.142857142857143,4.0,3,35,19,13,1
FRATTE CENTRO,Fri,35.0,34.0,2,2,2,2,2
GAIBANELLA,Fri,4.05,3.0,10,100,34,14,7
GALATI,Fri,1.865979381443299,1.0,26,291,54,33,12
GAMBOLO`REMONDO`,Fri,4.224832214765101,3.0,25,298,122,43,11
GARBAGNA,Fri,3.376,2.0,28,250,70,33,12
GARBAGNATE M.SE,Fri,0.0,0.0,70,889,0,0,0
GARBAGNATE MILANESE,Fri,2.277258566978193,2.0,31,321,62,20,2
GAVORRANO,Fri,2.10752688172043,1.0,17,186,42,19,9
GAZZO PIEVE S. GIACOMO,Fri,5.33,3.0,8,100,50,35,12
GENOVA ACQUASANTA,Fri,5.489655172413793,4.0,23,290,146,109,46
GENOVA CORNIGLIANO,Fri,14.75,12.0,11,12,12,10,8
