stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
CARONIA,IC,Tue,67.5,52.0,1,2,2,2,2
CATANZARO LIDO,IC,Tue,10.326923076923077,7.0,4,52,36,30,17
CODROIPO,IC,Tue,6.5,5.0,1,2,2,1,0
CONEGLIANO,IC,Tue,-5.5,-6.0,1,2,0,0,0
CORIGLIANO CALABRO,IC,Tue,11.288461538461538,8.0,4,52,41,35,19
CROTONE,IC,Tue,11.5,6.0,4,52,37,28,23
DIANO,IC,Tue,12.333333333333334,12.0,1,3,3,3,2
FABRIANO,IC,Tue,0.46153846153846156,0.0,4,52,11,4,0
FERRANDINA,IC,Tue,4.7272727272727275,3.0,4,44,20,16,7
FERRARA,IC,Tue,3.6097560975609757,2.0,4,41,16,9,3
FIDENZA,IC,Tue,4.712418300653595,1.0,15,153,47,35,22
FINALE LIGURE MARINA,IC,Tue,5.864406779661017,5.0,10,118,77,53,19
GENOVA P.PRINCIPE,IC,Tue,2.1657894736842107,1.0,35,380,111,83,31
IMPERIA,IC,Tue,4.9576271186440675,5.0,10,118,77,44,8
ISOLA CAPO RIZZUTO,IC,Tue,21.0,12.0,1,2,2,2,2
JESI,IC,Tue,1.0192307692307692,0.0,4,52,10,4,2
LA SPEZIA CENTRALE,IC,Tue,2.8524590163934427,1.0,24,244,77,54,21
LATINA,IC,Tue,5.0359477124183005,2.0,31,306,111,81,44
LETOJANNI,IC,Tue,-0.4,-2.0,2,5,2,1,0
LODI,IC,Tue,2.985611510791367,1.0,12,139,40,26,12
MASSA CENTRO,IC,Tue,3.944954128440367,2.0,18,218,86,67,23
MILANO CENTRALE,IC,Tue,2.509259259259259,-1.0,20,216,62,42,22
MILANO PORTA GARIBALDI,IC,Tue,16.666666666666668,10.0,1,3,3,3,1
MILAZZO,IC,Tue,7.5813953488372094,0.0,8,43,15,10,8
MOLFETTA,IC,Tue,6.410071942446043,4.0,13,139,71,51,28
MONASTERACE STILO,IC,Tue,8.26923076923077,4.0,4,52,28,22,17
MONSELICE,IC,Tue,4.285714285714286,4.0,3,28,16,9,4
NAPOLI CENTRALE,IC,Tue,3.781362007168459,1.0,27,279,96,76,47
NOVARA,IC,Tue,2.6785714285714284,1.0,3,28,5,3,1
OSTUNI,IC,Tue,2.925925925925926,1.0,10,81,22,14,7
PAOLA,IC,Tue,4.659722222222222,-2.0,22,144,34,28,21
PIACENZA,IC,Tue,2.7116564417177913,-1.0,20,163,42,34,23
PISA CENTRALE,IC,Tue,3.3733333333333335,2.0,23,225,91,59,20
POLLINA,IC,Tue,6.0,-5.0,3,13,4,4,4
PORTOGRUARO CAORLE,IC,Tue,3.0,1.0,3,39,10,6,4
POTENZA CENTRALE,IC,Tue,5.636363636363637,3.0,4,44,20,14,5
PRATO CENTRALE,IC,Tue,4.553846153846154,-1.0,13,130,44,40,29
RAPALLO,IC,Tue,4.333333333333333,2.0,2,3,1,1,1
REGGIO EMILIA,IC,Tue,7.148387096774194,4.0,17,155,79,54,26
RIMINIFIERA,IC,Tue,2.2142857142857144,2.0,7,14,4,1,0
ROMA CASILINA,IC,Tue,101.0,101.0,1,1,1,1,1
ROMA OSTIENSE,IC,Tue,2.0617283950617282,0.0,11,81,17,16,8
S.BENEDETTO DEL TRONTO,IC,Tue,4.231884057971015,3.0,12,138,68,46,15
SANREMO,IC,Tue,10.6,9.0,4,5,5,5,1
SARZANA,IC,Tue,3.761904761904762,2.0,4,42,14,11,6
SIRACUSA,IC,Tue,15.5625,3.0,5,32,13,11,8
SOVERATO,IC,Tue,8.942307692307692,5.0,4,52,33,25,18
TAGGIA ARMA,IC,Tue,4.641025641025641,3.0,6,78,39,23,7
TAORMINA,IC,Tue,10.523076923076923,3.0,11,65,32,24,16
TORINO LINGOTTO,IC,Tue,-0.3333333333333333,-1.0,12,87,12,5,0
TREBISACCE,IC,Tue,10.51923076923077,6.0,4,52,38,29,14
UDINE,IC,Tue,3.0,1.0,1,2,1,0,0
VAIRANO,IC,Tue,7.423076923076923,2.0,2,26,13,13,10
VIAREGGIO,IC,Tue,2.8959276018099547,2.0,21,221,81,59,21
VILLA CASTELLI,IC,Tue,0.0,-1.0,1,2,0,0,0
VILLA SAN GIOVANNI,IC,Tue,5.204081632653061,0.0,21,147,36,29,18
VILLANOVA,IC,Tue,2.0,2.0,1,1,0,0,0
