stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
GIOIA DEL COLLE,IC,Sat,-0.7142857142857143,-3.0,3,14,2,1,1,40.796983,16.916569
GROSSETO,IC,Sat,3.7176470588235295,2.0,11,85,32,20,10,42.76728,11.1065
LAMEZIA TERME CENTRALE,IC,Sat,10.382352941176471,1.0,16,136,46,38,26,38.921347,16.255577
LECCE,IC,Sat,2.661764705882353,-1.0,10,68,16,12,8,40.34566,18.165724
LETOJANNI,IC,Sat,8.4,-1.0,1,5,2,2,2,37.877581,15.303128
MESSINA CENTRALE,IC,Sat,10.3,0.0,13,70,28,22,16,38.184975,15.561278
MESSINA MARITTIMA,IC,Sat,24.178571428571427,10.0,7,28,18,16,11,38.14988,15.534997
MILANO ROGOREDO,IC,Sat,1.7072072072072073,1.0,22,222,40,25,13,45.433866,9.2391
MILAZZO,IC,Sat,11.55813953488372,2.0,9,43,17,14,11,38.21195,15.244203
MONASTERACE STILO,IC,Sat,5.916666666666667,2.0,4,48,22,17,9,38.437591,16.574444
NICOTERA,IC,Sat,25.6,6.0,2,5,4,3,1,38.549328,15.933749
NOVARA,IC,Sat,1.75,1.0,4,28,4,1,1,45.451376,8.624895
OSTUNI,IC,Sat,5.1,2.0,12,90,32,25,12,40.752356,17.580809
PATTI-SAN PIERO PATTI,IC,Sat,11.511627906976743,4.0,9,43,24,15,12,38.146905,14.975331
PAVIA,IC,Sat,4.211267605633803,1.0,26,284,93,65,32,45.188843,9.144674
PESARO,IC,Sat,2.588235294117647,0.0,19,170,46,32,21,43.906014,12.904848
PIACENZA,IC,Sat,2.1646341463414633,-1.0,22,164,39,30,19,45.052238,9.70633
PIETRA LIGURE,IC,Sat,9.478260869565217,8.0,2,23,20,17,5,44.145345,8.277403
POLICORO TURSI,IC,Sat,8.454545454545455,7.0,4,44,32,29,12,40.207304,16.688819
POLIGNANO A MARE,IC,Sat,13.045454545454545,4.0,2,22,13,11,9,40.990926,17.218676
RICADI,IC,Sat,22.6,5.0,2,5,3,2,2,38.630676,15.839848
S. DONA` DI PIAVE,IC,Sat,-1.5,0.0,3,36,4,1,1,45.63983,12.559791
S.AGATA M.,IC,Sat,10.44186046511628,2.0,9,43,19,18,10,38.073554,14.640622
SAN SEVERO,IC,Sat,5.025210084033613,2.0,13,119,50,36,18,41.684512,15.392567
SAPRI,IC,Sat,10.440944881889763,2.0,14,127,53,44,28,40.078013,15.627204
SICIGNANO DEGLI ALBURNI,IC,Sat,6.1,5.0,4,40,26,20,4,40.605454,15.290904
SOVERATO,IC,Sat,5.875,4.0,4,48,25,17,7,38.684339,16.549416
SPOLETO,IC,Sat,1.5229357798165137,1.0,10,109,26,16,7,42.748121,12.736142
TAGGIA ARMA,IC,Sat,5.611940298507463,4.0,6,67,35,23,6,43.840764,7.835604
TELESE CERRETO,IC,Sat,6.541666666666667,6.0,2,24,19,15,6,41.211709,14.526165
TERME EUGANEE-ABANO-MONTEGR.,IC,Sat,5.705882352941177,1.0,3,17,5,4,2,45.32744,11.79604
TERONTOLA CORTONA,IC,Sat,5.595744680851064,1.0,12,94,32,22,12,43.210263,12.007906
TORINO LINGOTTO,IC,Sat,1.5783132530120483,-1.0,10,83,12,10,6,45.0266,7.657469
TORINO P.NUOVA,IC,Sat,0.9365079365079365,0.0,7,63,5,3,3,45.060969,7.67747
TORTONA,IC,Sat,5.647619047619048,4.0,11,105,54,36,13,44.900126,8.861777
TRIESTE AIRPORT,IC,Sat,0.6111111111111112,0.0,3,36,4,0,0,,
TRIESTE CENTRALE,IC,Sat,-0.625,-2.0,2,16,2,0,0,45.657456,13.771873
VAIRANO,IC,Sat,7.458333333333333,3.0,2,24,12,11,11,41.317446,14.104022
VALLO DELLA LUC. CASTELNUOVO,IC,Sat,16.702380952380953,4.0,8,84,45,34,25,40.233316,15.266511
VENEZIA SANTA LUCIA,IC,Sat,15.0,1.0,2,5,1,1,1,45.441569,12.320882
VERCELLI,IC,Sat,0.32142857142857145,-1.0,4,28,5,2,1,45.329909,8.416028
VILLA SAN GIOVANNI,IC,Sat,10.147058823529411,0.0,18,136,41,36,28,38.216638,15.634336
ZAPPULLA,IC,Sat,6.0,6.0,1,1,1,1,0,38.116962,14.703086
ACIREALE,IC,Sat,18.106382978723403,6.0,8,47,28,24,18,37.600514,15.163697
ANCONA,IC,Sat,1.6127167630057804,1.0,19,173,51,38,13,43.607734,13.497665
AREZZO,IC,Sat,3.797872340425532,1.0,12,94,25,17,9,43.461725,11.874189
ARIANO IRPINO,IC,Sat,2.25,1.0,2,24,6,5,3,41.181883,15.117508
BATTIPAGLIA,IC,Sat,12.021897810218977,2.0,13,137,56,43,29,40.605789,14.98324
BOLOGNA C.LE,IC,Sat,3.6182572614107884,0.0,31,241,84,60,36,44.50626,11.342267
CAMPIGLIA MARITTIMA,IC,Sat,5.671428571428572,3.0,7,70,30,22,10,43.017118,10.586558
CAPO D`ORLANDO-NASO,IC,Sat,12.720930232558139,5.0,9,43,23,20,11,38.157941,14.744844
CASSINO,IC,Sat,5.0,-4.0,3,25,12,12,11,41.484306,13.832125
CATANIA CENTRALE,IC,Sat,15.816326530612244,5.0,8,49,25,22,18,37.506211,15.099417
CHIAVARI,IC,Sat,5.35,2.0,23,240,93,76,34,44.315156,9.322464
CIAMPINO,IC,Sat,9.0,9.0,1,1,1,1,0,41.804442,12.599546
CIRO',IC,Sat,12.659090909090908,7.0,4,44,29,28,19,39.368701,17.116997
CONEGLIANO,IC,Sat,16.0,4.0,2,5,3,2,1,45.884706,12.298909
CORNIGLIA,IC,Sat,74.0,44.0,2,2,2,2,2,44.119938,9.711051
CUTRO,IC,Sat,12.454545454545455,9.0,1,11,9,8,5,39.02593,16.963809
EBOLI,IC,Sat,5.85,4.0,4,40,23,13,3,40.611057,15.052382
FAENZA,IC,Sat,4.468965517241379,2.0,16,145,54,40,18,44.293594,11.883268
FANO,IC,Sat,3.4714285714285715,0.0,13,140,36,27,18,43.842977,13.02478
FASANO,IC,Sat,3.9555555555555557,0.0,12,90,26,22,9,40.851753,17.3859
FIRENZE CASTELLO,IC,Sat,41.0,47.0,1,3,3,2,2,43.819444,11.21838
FIRENZE S.M.N.,IC,Sat,14.703703703703704,5.0,5,27,14,13,8,43.776893,11.247373
GIOIOSA JONICA,IC,Sat,7.979166666666667,5.0,4,48,27,22,10,38.300812,16.332501
GIOJOSA MAREA,IC,Sat,3.6666666666666665,3.0,2,3,1,1,0,38.175149,14.894794
GIULIANOVA,IC,Sat,4.389705882352941,2.0,12,136,52,33,15,42.751673,13.965743
JESI,IC,Sat,0.19696969696969696,-1.0,6,66,10,7,4,43.520164,13.251316
LA SPEZIA CENTRALE,IC,Sat,4.202479338842975,1.0,25,242,80,60,35,44.11141,9.813906
LATINA,IC,Sat,4.424460431654676,1.0,30,278,81,56,37,41.538372,12.945888
LEVANTO,IC,Sat,3.04,1.0,19,200,49,37,19,44.174167,9.616018
LOCRI,IC,Sat,6.875,4.0,4,48,26,19,5,38.233154,16.264787
MELITO DI PORTO SALVO,IC,Sat,4.75,1.0,4,48,17,14,6,37.916732,15.780816
MESAGNE,IC,Sat,-1.0,-1.0,1,1,0,0,0,40.563203,17.802082
MILANO CENTRALE,IC,Sat,1.9090909090909092,-1.0,22,209,51,35,28,45.486347,9.204528
MILANO LAMBRATE,IC,Sat,5.5588235294117645,2.0,3,34,12,10,6,45.484933,9.237333
MODENA,IC,Sat,4.782051282051282,1.0,18,156,55,45,20,44.654461,10.930373
MONFALCONE,IC,Sat,1.829268292682927,-1.0,5,41,5,1,1,45.807683,13.542929
MONOPOLI,IC,Sat,4.144444444444445,1.0,12,90,25,24,13,40.952017,17.292455
NAPOLI CENTRALE,IC,Sat,2.62109375,0.0,28,256,86,52,30,40.852933,14.272908
ORTE,IC,Sat,4.4353741496598635,1.0,14,147,48,32,13,42.43728,12.408986
PADOVA,IC,Sat,4.0,1.0,5,41,18,8,6,45.417846,11.880794
PERUGIA,IC,Sat,4.318181818181818,1.0,2,22,4,4,3,43.103808,12.375567
PIETRASANTA,IC,Sat,7.166666666666667,2.0,2,24,11,8,6,43.95583,10.229731
PISA CENTRALE,IC,Sat,4.800925925925926,2.0,24,216,80,43,26,43.70794,10.398183
POLLINA,IC,Sat,11.0,-4.0,3,14,5,5,5,38.018,14.175943
PORTO S. GIORGIO FERMO,IC,Sat,4.529411764705882,3.0,12,136,55,40,12,43.17972,13.7975
PORTOGRUARO CAORLE,IC,Sat,2.2962962962962963,2.0,3,27,4,2,0,45.781438,12.832375
PRATO CENTRALE,IC,Sat,4.916666666666667,-1.0,11,72,30,27,18,43.878737,11.109252
RAPALLO,IC,Sat,10.833333333333334,11.0,6,6,6,6,4,44.351398,9.231282
REGGIO EMILIA,IC,Sat,6.858974358974359,3.0,18,156,77,60,24,44.697793,10.643093
RICCIONE,IC,Sat,2.0142857142857142,-1.0,13,140,33,29,16,43.999218,12.658549
RIMINI,IC,Sat,0.0898876404494382,-2.0,21,178,32,30,18,44.064176,12.574093
RIMINIFIERA,IC,Sat,15.0,6.0,7,7,4,4,3,,
ROCCELLA JONICA,IC,Sat,7.6875,6.0,4,48,29,26,11,38.322043,16.406917
ROMA TIBURTINA,IC,Sat,7.372340425531915,1.0,12,94,31,22,12,41.910903,12.530749
ROSARNO,IC,Sat,11.339805825242719,1.0,12,103,30,24,15,38.488593,15.970149
ROVIGO,IC,Sat,4.2682926829268295,1.0,5,41,11,7,5,45.076993,11.780892
S. MARGHERITA LIGURE PORTOFINO,IC,Sat,4.699300699300699,2.0,12,143,48,39,16,44.33676,9.216673
S.BENEDETTO DEL TRONTO,IC,Sat,4.4338235294117645,3.0,12,136,60,37,14,42.954386,13.882297
SALERNO,IC,Sat,8.203619909502262,0.0,26,221,71,61,45,40.675137,14.772822
SANREMO,IC,Sat,16.333333333333332,11.0,5,6,6,5,4,43.821269,7.766693
SANTO STEFANO DI CAMASTRA,IC,Sat,17.1875,1.0,4,16,7,5,5,38.01778,14.35104
SENIGALLIA,IC,Sat,3.7375886524822697,1.0,14,141,41,31,16,43.716277,13.221652
SESTRI LEVANTE,IC,Sat,3.1065573770491803,1.0,21,244,88,64,28,44.27626,9.397651
