stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
NAPOLI AFRAGOLA,,Fri,5.295081967213115,3.0,60,732,338,272,146,,
NAPOLI CENTRALE,,Fri,5.848082595870206,3.0,56,678,312,252,141,40.852933,14.272908
ORTE,,Fri,1.0,-1.0,2,25,5,3,1,42.43728,12.408986
PAVIA,,Fri,5.346153846153846,5.0,5,52,31,23,8,45.188843,9.144674
REGGIO EMILIA,,Fri,8.671111111111111,7.0,19,225,168,127,54,44.697793,10.643093
ROMA TIBURTINA,,Fri,3.207850133809099,1.0,97,1121,366,250,104,41.910903,12.530749
SARZANA,,Fri,3.769230769230769,3.0,2,26,9,7,2,44.108865,9.960657
SPOLETO,,Fri,2.769230769230769,1.0,2,26,4,3,1,42.748121,12.736142
TERMOLI,,Fri,5.81858407079646,3.0,19,226,103,83,49,42.000623,14.992805
TORANO LATTARICO,,Fri,4.653846153846154,-1.0,2,26,10,8,8,39.49455,16.210509
TORINO LINGOTTO,,Fri,0.9230769230769231,1.0,2,26,5,3,0,45.0266,7.657469
TORINO P.NUOVA,,Fri,3.9633699633699635,1.0,23,273,88,62,38,45.060969,7.67747
UDINE,,Fri,4.916666666666667,-1.0,2,24,4,3,2,46.055791,13.242003
VIAREGGIO,,Fri,6.153846153846154,3.0,11,130,61,48,18,43.865947,10.257886
AREZZO,,Fri,4.066666666666666,3.0,6,75,29,22,9,43.461725,11.874189
BARI CENTRALE,,Fri,4.824561403508772,0.0,29,342,130,108,72,41.11774,16.869601
BARLETTA,,Fri,8.558988764044944,4.0,30,356,183,158,104,41.315227,16.278867
BOLOGNA C.LE,,Fri,6.777070063694268,5.0,27,314,193,140,72,44.50626,11.342267
BRESCIA,,Fri,4.031128404669261,2.0,40,514,201,129,54,45.532315,10.212828
CASSINO,,Fri,7.538461538461538,1.0,2,26,8,6,6,41.484306,13.832125
CORNIGLIA,,Fri,32.0,7.0,2,4,3,3,2,44.119938,9.711051
FABRIANO,,Fri,0.8846153846153846,-1.0,2,26,5,5,1,43.345429,12.905336
FAENZA,,Fri,10.867647058823529,8.0,6,68,45,41,24,44.293594,11.883268
FOLIGNO,,Fri,2.076923076923077,-1.0,2,26,4,3,1,42.954261,12.711096
FROSINONE,,Fri,7.076923076923077,1.0,2,26,8,6,5,41.625333,13.328728
GENOVA P.PRINCIPE,,Fri,6.115384615384615,4.0,13,156,84,63,28,44.417784,8.9207
GIOIA TAURO,,Fri,0.46153846153846156,-1.0,4,52,12,8,3,38.423436,15.897516
GIULIANOVA,,Fri,6.130434782608695,2.0,2,23,9,6,4,42.751673,13.965743
LATISANA LIGNANO B.,,Fri,2.63265306122449,2.0,4,49,12,6,3,45.777733,13.001101
MARATEA,,Fri,5.038461538461538,3.0,2,26,12,9,4,39.995028,15.70975
MASSA CENTRO,,Fri,5.141025641025641,3.0,13,156,68,49,13,44.023741,10.136041
METAPONTO,,Fri,-3.0,-3.0,1,12,0,0,0,40.368496,16.815176
MILANO CENTRALE,,Fri,5.979651162790698,3.0,85,1032,477,358,198,45.486347,9.204528
MODENA,,Fri,9.174603174603174,7.0,21,252,193,146,80,44.654461,10.930373
PADOVA,,Fri,2.9669421487603307,1.0,67,847,209,136,72,45.417846,11.880794
PALAZZOLO SULL`OGLIO,,Fri,-2.6,-4.0,2,5,1,0,0,45.601486,9.896235
PARMA,,Fri,7.433628318584071,5.0,19,226,143,101,45,44.810203,10.32837
PERUGIA,,Fri,4.384615384615385,-1.0,1,13,3,2,2,43.103808,12.375567
RAPALLO,,Fri,10.375,6.0,3,8,6,5,3,44.351398,9.231282
RAVENNA,,Fri,3.3846153846153846,3.0,1,13,5,3,1,44.419155,12.208404
REGGIO CALABRIA CENTRALE,,Fri,0.7692307692307693,-2.0,7,91,21,16,12,38.103884,15.635844
RIMINI,,Fri,5.197058823529412,3.0,29,340,163,123,77,44.064176,12.574093
ROMA TERMINI,,Fri,4.548759376803232,2.0,139,1733,662,440,221,41.900636,12.502026
ROVIGO,,Fri,1.7028985507246377,0.0,12,138,24,17,12,45.076993,11.780892
TARANTO,,Fri,1.6923076923076923,2.0,1,13,3,2,0,40.483727,17.224059
TERNI,,Fri,3.5384615384615383,-2.0,1,13,1,1,1,42.570768,12.651091
TERONTOLA CORTONA,,Fri,6.28,2.0,2,25,12,9,4,43.210263,12.007906
TRENTO,,Fri,4.5256410256410255,3.0,12,156,63,34,13,46.072414,11.118941
TREVISO C.,,Fri,7.040816326530612,1.0,4,49,13,6,4,45.659608,12.24614
TRIESTE AIRPORT,,Fri,0.8783783783783784,-1.0,6,74,14,8,4,,
VALLO DELLA LUC. CASTELNUOVO,,Fri,4.871794871794871,2.0,6,78,29,23,14,40.233316,15.266511
VENEZIA MESTRE,,Fri,2.1839080459770117,0.0,69,870,165,109,64,45.482123,12.232069
VIBO VALENZIA PIZZO,,Fri,3.019230769230769,1.0,8,104,31,25,8,38.714593,16.139887
VICENZA,,Fri,3.357487922705314,1.0,32,414,133,90,46,45.541102,11.540762
VILLA SAN GIOVANNI,,Fri,1.3204419889502763,-1.0,14,181,37,23,16,38.216638,15.634336
