stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
SPOLETO,,Mon,6.6,3.0,2,25,8,6,3
TERNI,,Mon,4.6,2.0,2,15,5,3,2
TERONTOLA CORTONA,,Mon,2.423076923076923,1.0,2,26,8,5,1
TRENTO,,Mon,5.690322580645161,3.0,12,155,65,36,14
TREVISO C.,,Mon,1.588235294117647,-1.0,4,51,11,7,4
TRIESTE CENTRALE,,Mon,4.368421052631579,-2.0,4,38,7,5,2
VIAREGGIO,,Mon,5.1,3.0,11,130,64,44,15
VILLA SAN GIOVANNI,,Mon,3.292134831460674,-1.0,16,178,42,34,21
BARLETTA,,Mon,8.081232492997199,3.0,30,357,174,149,105
BERGAMO,,Mon,-2.6666666666666665,-3.0,3,36,3,1,1
BOLOGNA C.LE/AV,,Mon,3.509916826615483,1.0,127,1563,535,375,179
BOLZANO,,Mon,9.333333333333334,5.0,6,78,53,37,16
BRESCIA,,Mon,3.1841584158415843,2.0,40,505,187,104,31
CAMPIGLIA MARITTIMA,,Mon,2.876923076923077,1.0,11,130,40,26,9
CASSINO,,Mon,2.6153846153846154,1.0,2,26,8,5,2
CHIUSI C.T.,,Mon,12.5,8.0,2,2,2,2,1
DESENZANO,,Mon,3.960698689956332,3.0,18,229,95,56,14
FERRANDINA,,Mon,-0.7272727272727273,-1.0,1,11,0,0,0
FERRARA,,Mon,4.491909385113269,3.0,25,309,123,69,29
FORLI`,,Mon,8.885135135135135,6.0,13,148,91,81,53
FROSINONE,,Mon,1.3846153846153846,1.0,2,26,6,3,1
GIOIA DEL COLLE,,Mon,1.6923076923076923,0.0,2,26,4,4,4
GIULIANOVA,,Mon,4.913043478260869,3.0,2,23,9,8,4
MARATEA,,Mon,5.6,4.0,2,25,13,9,5
MASSA CENTRO,,Mon,3.8333333333333335,3.0,13,156,61,41,15
MILANO PORTA GARIBALDI,,Mon,4.685990338164252,2.0,17,207,74,47,21
MODENA,,Mon,9.53225806451613,6.0,21,248,181,144,83
PADOVA,,Mon,2.340400471142521,1.0,67,849,185,123,48
PAVIA,,Mon,6.96,5.0,5,50,30,23,11
PESARO,,Mon,8.59621451104101,5.0,27,317,178,135,99
PISA CENTRALE,,Mon,4.0144927536231885,3.0,17,207,86,56,18
RAPALLO,,Mon,7.5,7.0,3,4,4,3,0
ROMA TIBURTINA,,Mon,3.5948352626892253,2.0,97,1123,371,248,117
S. DONA` DI PIAVE,,Mon,-0.2692307692307692,-1.0,2,26,8,3,1
TORINO P.NUOVA,,Mon,5.670175438596491,1.0,23,285,97,71,42
TRIESTE AIRPORT,,Mon,2.2337662337662336,0.0,7,77,19,12,6
VENEZIA SANTA LUCIA,,Mon,2.546916890080429,1.0,30,373,76,51,28
