stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
CAPO D`ORLANDO-NASO,IC,Sun,4.857142857142857,3.0,6,35,15,6,3
CARIATI,IC,Sun,9.509803921568627,8.0,4,51,38,37,18
CATANIA CENTRALE,IC,Sun,0.6911764705882353,0.0,11,68,16,12,8
CESENA,IC,Sun,0.2857142857142857,-2.0,18,168,32,26,13
CHIAVARI,IC,Sun,3.3057851239669422,1.0,23,242,66,43,11
CORIGLIANO CALABRO,IC,Sun,6.627450980392157,4.0,4,51,29,24,11
CROTONE,IC,Sun,5.019607843137255,3.0,4,51,25,20,13
CUTRO,IC,Sun,6.6923076923076925,6.0,1,13,9,7,2
FASANO,IC,Sun,3.510869565217391,0.0,11,92,20,17,7
FIDENZA,IC,Sun,2.2213740458015265,0.0,16,131,35,26,9
FINALE LIGURE MARINA,IC,Sun,4.765217391304348,4.0,25,115,58,43,16
FOLIGNO,IC,Sun,2.712871287128713,0.0,10,101,28,23,12
FORLI`,IC,Sun,2.4404761904761907,0.0,18,168,44,29,14
FORTEZZA,IC,Sun,5.5,5.0,2,2,2,1,0
FROSINONE,IC,Sun,7.0,7.0,2,26,14,14,10
GENOVA BRIGNOLE,IC,Sun,1.6714801444043321,0.0,27,277,71,44,17
GENOVA P.PRINCIPE,IC,Sun,1.2720207253886011,-1.0,42,386,83,52,24
GIOIA DEL COLLE,IC,Sun,3.25,1.0,5,28,10,7,4
GIOIA TAURO,IC,Sun,4.655405405405405,0.0,16,148,37,28,21
GRASSANO,IC,Sun,2.883720930232558,1.0,4,43,14,8,4
GRICIGNANO,IC,Sun,15.0,15.0,1,1,1,1,1
LEVANTO,IC,Sun,1.855140186915888,0.0,20,214,37,28,14
LOCRI,IC,Sun,3.2549019607843137,2.0,4,51,19,11,3
LORETO,IC,Sun,1.8076923076923077,1.0,3,26,9,2,1
MILANO CENTRALE,IC,Sun,0.18025751072961374,-2.0,28,233,44,30,18
MILANO LAMBRATE,IC,Sun,2.7777777777777777,2.0,5,27,6,4,2
MILANO PORTA GARIBALDI,IC,Sun,18.2,-2.0,2,5,1,1,1
MODENA,IC,Sun,0.21641791044776118,-1.0,18,134,22,14,9
MONFALCONE,IC,Sun,5.576923076923077,1.0,7,52,13,8,5
PADOVA,IC,Sun,6.076923076923077,1.0,7,52,18,14,6
PALMI,IC,Sun,3.5,1.0,2,6,2,1,1
PESARO,IC,Sun,1.7966101694915255,-1.0,19,177,47,32,14
PESCARA,IC,Sun,2.1654676258992804,-1.0,16,139,37,24,10
PM CAGIONI,IC,Sun,3.0,3.0,1,1,0,0,0
POLICORO TURSI,IC,Sun,5.705882352941177,4.0,4,51,31,20,6
POLIGNANO A MARE,IC,Sun,6.857142857142857,3.0,2,21,10,8,7
PORDENONE,IC,Sun,79.5,4.0,2,2,2,1,1
RAPALLO,IC,Sun,6.4,6.0,4,5,3,3,1
REGGIO EMILIA,IC,Sun,2.5223880597014925,1.0,18,134,38,24,11
RIMINI,IC,Sun,-1.0824175824175823,-2.0,21,182,28,20,12
RIMINIFIERA,IC,Sun,3.7142857142857144,2.0,7,14,5,4,1
ROCCALUMERA MANDANICI,IC,Sun,9.25,-3.0,2,4,2,2,1
ROMA TERMINI,IC,Sun,4.020161290322581,0.0,28,248,67,54,35
ROSSANO,IC,Sun,7.901960784313726,5.0,4,51,37,25,13
ROVIGO,IC,Sun,6.346153846153846,-1.0,7,52,13,8,6
S.LORENZO MAGGIORE,IC,Sun,81.0,81.0,1,1,1,1,1
SACILE,IC,Sun,80.5,4.0,2,2,2,1,1
SAPRI,IC,Sun,4.374149659863946,0.0,16,147,52,44,19
SICIGNANO DEGLI ALBURNI,IC,Sun,5.8604651162790695,4.0,4,43,23,13,6
SPOLETO,IC,Sun,3.857142857142857,2.0,11,112,40,27,13
TERME EUGANEE-ABANO-MONTEGR.,IC,Sun,10.928571428571429,2.0,5,28,8,6,4
TERONTOLA CORTONA,IC,Sun,4.219047619047619,2.0,14,105,41,31,20
TORRE MELISSA,IC,Sun,3.0,3.0,1,1,0,0,0
TORTONA,IC,Sun,5.245762711864407,3.0,13,118,49,35,15
TREBISACCE,IC,Sun,5.352941176470588,3.0,4,51,25,17,6
VENEZIA MESTRE,IC,Sun,3.98,1.0,5,50,12,8,3
VERCELLI,IC,Sun,3.8620689655172415,-1.0,4,29,6,5,2
VILLA CASTELLI,IC,Sun,43.0,43.0,1,1,1,1,1
VILLA S.GIOVANNI MARE,IC,Sun,17.5,0.0,8,30,12,12,11
ACIREALE,IC,Sun,1.507936507936508,1.0,11,63,19,15,9
ARIANO IRPINO,IC,Sun,3.3513513513513513,0.0,3,37,7,5,4
BAGNARA,IC,Sun,2.1666666666666665,-1.0,2,6,2,1,1
BARDONECCHIA,IC,Sun,4.8,-1.0,1,10,3,1,1
BARI S. SPIRITO,IC,Sun,20.0,20.0,1,1,1,1,1
BOLOGNA C.LE,IC,Sun,1.0595744680851065,-1.0,36,235,55,38,18
CAPODACQUA PIEVE FANONICA,IC,Sun,-0.4,-2.0,1,5,1,0,0
CARONIA,IC,Sun,-3.0,-3.0,1,1,0,0,0
CASERTA,IC,Sun,8.15,3.0,6,40,19,17,13
CATANZARO LIDO,IC,Sun,3.784313725490196,3.0,4,51,24,13,4
CECINA,IC,Sun,3.1176470588235294,1.0,7,68,16,11,5
FERRARA,IC,Sun,4.096153846153846,-2.0,7,52,10,7,6
FOGGIA,IC,Sun,2.9285714285714284,-1.0,20,168,50,39,18
FORTE DEI MARMI SERRAVEZZA Q.,IC,Sun,2.391304347826087,2.0,3,23,7,4,1
FRANCAVILLA FONTANA,IC,Sun,-1.0588235294117647,-5.0,4,17,3,3,2
GIUNCANO,IC,Sun,3.7142857142857144,0.0,3,7,2,1,1
LA SPEZIA CENTRALE,IC,Sun,2.977272727272727,1.0,26,264,78,55,25
LATISANA LIGNANO B.,IC,Sun,3.56,1.0,5,50,19,10,3
LECCE,IC,Sun,4.473684210526316,0.0,7,57,16,10,9
LIVORNO CENTRALE,IC,Sun,2.692857142857143,1.0,15,140,45,28,13
MARATEA,IC,Sun,7.405405405405405,3.0,9,74,35,25,12
MESSINA MARITTIMA,IC,Sun,12.724137931034482,0.0,8,29,11,10,7
METAPONTO,IC,Sun,2.1382978723404253,-1.0,8,94,27,21,8
MEZZOCORONA,IC,Sun,1.3333333333333333,2.0,3,3,0,0,0
MILANO ROGOREDO,IC,Sun,1.2885572139303483,0.0,21,201,36,23,11
MONASTERACE STILO,IC,Sun,0.7647058823529411,1.0,4,51,10,4,0
MONSELICE,IC,Sun,7.615384615384615,-2.0,4,26,4,3,3
NAPOLI CENTRALE,IC,Sun,0.9192982456140351,-3.0,31,285,76,56,34
NICOTERA,IC,Sun,1.8333333333333333,1.0,2,6,1,1,0
