stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
FIRENZE CASTELLO,IC,Wed,22.0,22.0,1,1,1,1,1,43.819444,11.21838
FIRENZE S.M.N.,IC,Wed,7.0212765957446805,5.0,7,47,27,23,13,43.776893,11.247373
FOLIGNO,IC,Wed,3.2745098039215685,2.0,8,102,37,29,12,42.954261,12.711096
FORMIA-GAETA,IC,Wed,8.283783783783784,4.0,33,296,165,116,57,41.258773,13.605996
FRANCAVILLA FONTANA,IC,Wed,13.2,3.0,3,15,6,6,5,40.523145,17.584714
FROSINONE,IC,Wed,0.76,-5.0,2,25,12,12,11,41.625333,13.328728
GENOVA P.PRINCIPE,IC,Wed,3.0408163265306123,1.0,37,392,127,94,43,44.417784,8.9207
GIOIA DEL COLLE,IC,Wed,9.133333333333333,-3.0,3,15,5,4,4,40.796983,16.916569
ISOLA CAPO RIZZUTO,IC,Wed,21.0,21.0,1,1,1,1,1,39.043084,17.071764
LATISANA LIGNANO B.,IC,Wed,3.1794871794871793,2.0,3,39,14,11,2,45.777733,13.001101
LECCE,IC,Wed,7.473684210526316,2.0,6,57,22,16,12,40.34566,18.165724
LORETO,IC,Wed,0.23076923076923078,-1.0,1,13,1,1,1,43.448376,13.620455
MESSINA MARITTIMA,IC,Wed,29.625,20.0,6,24,20,18,17,38.14988,15.534997
MILANO CENTRALE,IC,Wed,3.017857142857143,1.0,22,224,69,48,24,45.486347,9.204528
MONFALCONE,IC,Wed,2.5714285714285716,1.0,5,42,11,5,2,45.807683,13.542929
NICOTERA,IC,Wed,7.333333333333333,7.0,3,3,2,2,1,38.549328,15.933749
PALERMO CENTRALE,IC,Wed,-3.235294117647059,-10.0,2,17,6,5,4,38.109187,13.367515
PAOLA,IC,Wed,10.063829787234043,-1.0,20,141,46,41,33,39.359442,16.033093
PARMA,IC,Wed,7.32258064516129,3.0,19,155,70,50,29,44.810203,10.32837
PISCIOTTA PALINURO,IC,Wed,20.7027027027027,11.0,5,37,27,25,19,40.091539,15.243601
PORTOGRUARO CAORLE,IC,Wed,4.0256410256410255,2.0,3,39,13,12,2,45.781438,12.832375
RAPALLO,IC,Wed,8.666666666666666,8.0,3,3,3,3,1,44.351398,9.231282
RICADI,IC,Wed,7.666666666666667,8.0,3,3,2,2,1,38.630676,15.839848
ROCCALUMERA MANDANICI,IC,Wed,53.666666666666664,34.0,1,3,3,3,3,37.972946,15.391411
ROMA TIBURTINA,IC,Wed,8.875,3.0,12,112,48,39,26,41.910903,12.530749
SAN SEVERO,IC,Wed,7.991525423728813,4.0,11,118,63,48,32,41.684512,15.392567
SCALEA S.DOMENICA TALAO,IC,Wed,10.843137254901961,5.0,14,102,61,48,30,39.8083,15.80139
SCANZANO J. MONTALBANO J.,IC,Wed,6.0,6.0,1,1,1,1,0,40.25362,16.705192
SESTRI LEVANTE,IC,Wed,1.6988416988416988,1.0,21,259,80,51,18,44.27626,9.397651
SOLOPACA,IC,Wed,18.0,18.0,1,1,1,1,1,41.210521,14.571413
SQUILLACE,IC,Wed,28.0,28.0,1,1,1,1,1,38.77705,16.570418
TAORMINA,IC,Wed,10.940298507462687,3.0,12,67,32,28,21,37.845429,15.282584
TERME EUGANEE-ABANO-MONTEGR.,IC,Wed,4.0,2.0,3,16,6,4,3,45.32744,11.79604
TERMINI IMERESE,IC,Wed,2.5454545454545454,-1.0,5,44,12,11,7,37.980132,13.703631
TORTONA,IC,Wed,6.257142857142857,5.0,9,105,64,52,16,44.900126,8.861777
TRANI,IC,Wed,9.119718309859154,5.0,14,142,84,60,35,41.272693,16.417646
TRIESTE AIRPORT,IC,Wed,2.41025641025641,0.0,3,39,7,5,3,,
VENEZIA MESTRE,IC,Wed,2.268292682926829,1.0,5,41,11,9,4,45.482123,12.232069
VENEZIA SANTA LUCIA,IC,Wed,5.0,3.0,2,3,1,1,1,45.441569,12.320882
VERCELLI,IC,Wed,1.5185185185185186,1.0,3,27,6,4,3,45.329909,8.416028
VIBO MARINA,IC,Wed,5.666666666666667,8.0,3,3,2,2,1,38.713731,16.120199
VILLANOVA,IC,Wed,5.5,3.0,2,2,1,1,0,44.963159,7.947136
VOGHERA,IC,Wed,5.091743119266055,4.0,19,218,113,64,23,44.9978,9.007942
AGROPOLI CASTELLABATE,IC,Wed,11.235294117647058,4.0,9,85,44,40,22,40.351521,15.002053
ALASSIO,IC,Wed,7.743589743589744,6.0,10,117,87,72,28,44.007889,8.17112
ALCANTARA,IC,Wed,27.5,2.0,2,4,2,2,2,37.82145,15.251158
ASCEA,IC,Wed,22.27027027027027,12.0,5,37,26,26,19,40.140955,15.172626
ASTI,IC,Wed,3.2325581395348837,2.0,13,86,33,16,3,44.89479,8.208112
AVERSA,IC,Wed,6.399305555555555,2.0,27,288,122,88,54,40.973323,14.218578
BELLA MURO,IC,Wed,6.954545454545454,5.0,4,44,27,19,8,40.700914,15.542936
BENEVENTO,IC,Wed,5.269230769230769,1.0,2,26,8,6,6,41.141901,14.769998
BORDIGHERA,IC,Wed,4.556962025316456,3.0,7,79,32,22,11,43.778313,7.663504
CARRARA AVENZA,IC,Wed,3.0,2.0,2,3,1,0,0,44.051239,10.062927
CASARSA,IC,Wed,3.0,1.0,2,3,1,1,0,45.953002,12.8406
CATANIA CENTRALE,IC,Wed,7.82089552238806,2.0,12,67,26,21,15,37.506211,15.099417
CESENA,IC,Wed,4.160839160839161,0.0,14,143,52,46,24,44.145449,12.24964
CHIAVARI,IC,Wed,3.8653846153846154,2.0,26,260,92,63,20,44.315156,9.322464
CUTRO,IC,Wed,15.076923076923077,9.0,1,13,10,9,6,39.02593,16.963809
EBOLI,IC,Wed,8.340909090909092,4.0,4,44,25,20,11,40.611057,15.052382
FERRANDINA,IC,Wed,7.181818181818182,2.0,4,44,18,12,8,40.516566,16.475276
FOGGIA,IC,Wed,5.816326530612245,2.0,16,147,57,44,33,41.466,15.555816
FOLLONICA,IC,Wed,4.416666666666667,3.0,8,96,42,29,10,42.926687,10.755775
GIOIOSA JONICA,IC,Wed,11.019607843137255,5.0,4,51,32,24,15,38.300812,16.332501
GIULIANOVA,IC,Wed,6.569343065693431,4.0,11,137,74,54,31,42.751673,13.965743
GROSSETO,IC,Wed,4.391304347826087,3.0,13,92,43,33,15,42.76728,11.1065
IMPERIA,IC,Wed,5.760683760683761,5.0,10,117,75,47,18,43.88051,8.019182
JESI,IC,Wed,2.25,1.0,4,52,12,9,5,43.520164,13.251316
LATINA,IC,Wed,5.989830508474577,1.0,32,295,110,88,47,41.538372,12.945888
LEVANTO,IC,Wed,1.4507042253521127,0.0,17,213,41,26,9,44.174167,9.616018
LOCRI,IC,Wed,10.72549019607843,5.0,4,51,33,24,15,38.233154,16.264787
MASSA CENTRO,IC,Wed,3.2577777777777777,2.0,18,225,91,44,16,44.023741,10.136041
MILANO LAMBRATE,IC,Wed,3.3846153846153846,2.0,3,39,13,7,4,45.484933,9.237333
MILANO ROGOREDO,IC,Wed,3.3846153846153846,2.0,19,221,65,45,20,45.433866,9.2391
MOLFETTA,IC,Wed,8.703448275862069,5.0,14,145,82,58,35,41.196008,16.596793
MONASTERACE STILO,IC,Wed,8.96078431372549,4.0,4,51,27,19,11,38.437591,16.574444
MONSELICE,IC,Wed,5.275862068965517,3.0,4,29,14,9,4,45.246116,11.74789
NOVI LIGURE,IC,Wed,0.9487179487179487,-1.0,3,39,7,4,1,44.762521,8.787289
ORBETELLO,IC,Wed,4.086956521739131,3.0,2,23,11,9,2,42.450615,11.248972
ORVIETO,IC,Wed,5.578947368421052,1.0,11,114,43,35,16,42.723379,12.127412
PERUGIA PONTE S.GIOVANNI,IC,Wed,9.0,9.0,1,1,1,1,0,43.091801,12.438239
PESCARA,IC,Wed,6.25,2.0,15,132,54,46,26,42.467789,14.205066
POLICORO TURSI,IC,Wed,9.01923076923077,8.0,4,52,36,31,12,40.207304,16.688819
PORDENONE,IC,Wed,3.0,2.0,2,3,1,1,0,45.956281,12.654126
REGGIO CALABRIA CENTRALE,IC,Wed,5.253968253968254,-1.0,7,63,24,21,14,38.103884,15.635844
RICCIONE,IC,Wed,2.0291970802919708,-1.0,11,137,32,25,14,43.999218,12.658549
ROCCELLA JONICA,IC,Wed,10.450980392156863,4.0,4,51,32,24,16,38.322043,16.406917
ROMA OSTIENSE,IC,Wed,2.8518518518518516,0.0,13,81,24,18,9,41.87265,12.483917
ROVIGO,IC,Wed,4.214285714285714,2.0,5,42,17,14,5,45.076993,11.780892
S. MARGHERITA LIGURE PORTOFINO,IC,Wed,4.225806451612903,2.0,12,155,62,45,13,44.33676,9.216673
SANREMO,IC,Wed,6.285714285714286,5.0,5,7,4,2,1,43.821269,7.766693
SAVONA,IC,Wed,4.837606837606837,3.0,10,117,47,34,14,44.306892,8.470259
SICIGNANO DEGLI ALBURNI,IC,Wed,8.727272727272727,7.0,4,44,32,24,11,40.605454,15.290904
SIDERNO,IC,Wed,11.92156862745098,6.0,4,51,40,30,15,38.2708,16.302
SPOLETO,IC,Wed,3.058252427184466,2.0,8,103,38,26,11,42.748121,12.736142
TARANTO,IC,Wed,4.098360655737705,-2.0,7,61,17,17,10,40.483727,17.224059
TORINO PORTA SUSA,IC,Wed,0.9259259259259259,0.0,3,27,5,4,1,45.075906,7.667673
VIAREGGIO,IC,Wed,2.6315789473684212,2.0,22,228,74,52,14,43.865947,10.257886
VIBO VALENZIA PIZZO,IC,Wed,7.459183673469388,1.0,10,98,33,23,19,38.714593,16.139887
VILLA SAN GIOVANNI,IC,Wed,9.381944444444445,0.0,22,144,57,43,31,38.216638,15.634336
ANCONA,IC,Wed,6.005847953216374,2.0,18,171,65,48,29,43.607734,13.497665
AREZZO,IC,Wed,6.177304964539007,3.0,14,141,64,40,22,43.461725,11.874189
ARIANO IRPINO,IC,Wed,3.6153846153846154,0.0,2,26,8,6,4,41.181883,15.117508
AUGUSTA,IC,Wed,8.149253731343284,2.0,12,67,22,18,14,37.24334,15.218628
BARI CENTRALE,IC,Wed,6.512396694214876,2.0,14,121,45,37,27,41.11774,16.869601
BARLETTA,IC,Wed,8.353741496598639,4.0,16,147,83,61,30,41.315227,16.278867
BATTIPAGLIA,IC,Wed,9.13986013986014,3.0,14,143,68,55,36,40.605789,14.98324
BISCEGLIE,IC,Wed,9.23448275862069,5.0,14,145,87,64,36,41.235445,16.499484
BOTRICELLO,IC,Wed,13.215686274509803,8.0,4,51,42,35,21,38.933943,16.857433
BOVALINO,IC,Wed,10.901960784313726,5.0,4,51,30,25,16,38.149087,16.180584
CAMPIGLIA MARITTIMA,IC,Wed,4.136986301369863,3.0,6,73,33,22,8,43.017118,10.586558
CAPO D`ORLANDO-NASO,IC,Wed,13.477272727272727,4.0,5,44,26,19,14,38.157941,14.744844
CASSINO,IC,Wed,4.48,-3.0,2,25,12,12,11,41.484306,13.832125
CATANZARO LIDO,IC,Wed,11.215686274509803,6.0,4,51,34,28,16,38.821788,16.612975
CERVIGNANO A.G.,IC,Wed,3.1025641025641026,2.0,3,39,12,6,3,45.823948,13.342866
CHIEUTI SERRACAPRIOLA,IC,Wed,4.0,4.0,1,1,1,0,0,41.921962,15.156645
CHIUSI C.T.,IC,Wed,3.793103448275862,-2.0,13,116,40,33,15,43.002466,11.957893
CIRO',IC,Wed,12.686274509803921,9.0,4,51,39,34,21,39.368701,17.116997
CIVITAVECCHIA,IC,Wed,7.4625,4.0,12,80,41,35,18,42.088287,11.79815
CODROIPO,IC,Wed,2.3333333333333335,-1.0,2,3,1,1,0,45.9657,12.976543
CONEGLIANO,IC,Wed,0.0,2.0,2,3,0,0,0,45.884706,12.298909
CROTONE,IC,Wed,11.607843137254902,6.0,4,51,33,26,20,39.0845,17.108418
FABRIANO,IC,Wed,1.5961538461538463,1.0,4,52,13,9,4,43.345429,12.905336
FALCONARA MARITTIMA,IC,Wed,1.2692307692307692,1.0,4,52,12,10,6,43.630577,13.397378
FERRARA,IC,Wed,3.3095238095238093,2.0,5,42,16,12,3,44.843047,11.603594
FIDENZA,IC,Wed,4.486486486486487,2.0,15,148,57,38,24,44.86773,10.06339
FINALE LIGURE MARINA,IC,Wed,7.05982905982906,5.0,10,117,67,53,20,44.169116,8.34033
GIOIA TAURO,IC,Wed,7.5,1.0,16,126,48,40,27,38.423436,15.897516
GIOJOSA MAREA,IC,Wed,5.0,5.0,1,1,1,0,0,38.175149,14.894794
GORIZIA CENTRALE,IC,Wed,1.6666666666666667,3.0,2,3,1,0,0,45.933047,13.60684
GRASSANO,IC,Wed,8.454545454545455,2.0,4,44,19,15,7,40.593317,16.241049
LAMEZIA TERME CENTRALE,IC,Wed,11.46043165467626,2.0,20,139,55,44,35,38.921347,16.255577
LETOJANNI,IC,Wed,34.0,29.0,1,9,9,7,7,37.877581,15.303128
LIVORNO CENTRALE,IC,Wed,3.5636363636363635,2.0,19,165,68,46,16,43.55406,10.336593
MELITO DI PORTO SALVO,IC,Wed,8.294117647058824,4.0,4,51,26,21,13,37.916732,15.780816
MILANO PORTA GARIBALDI,IC,Wed,-4.0,-4.0,1,1,0,0,0,45.484917,9.187683
MILAZZO,IC,Wed,12.590909090909092,3.0,5,44,22,19,14,38.21195,15.244203
MONOPOLI,IC,Wed,8.012048192771084,4.0,9,83,42,38,21,40.952017,17.292455
MONTEROSSO,IC,Wed,1.715,0.0,16,200,39,29,7,44.145967,9.649009
NAPOLI CENTRALE,IC,Wed,5.516728624535316,3.0,27,269,116,89,49,40.852933,14.272908
ORTE,IC,Wed,5.224719101123595,2.0,16,178,73,56,22,42.43728,12.408986
OSTUNI,IC,Wed,6.734939759036145,2.0,9,83,38,30,18,40.752356,17.580809
PADOVA,IC,Wed,5.642857142857143,4.0,5,42,22,15,9,45.417846,11.880794
PALIZZI,IC,Wed,29.0,29.0,1,1,1,1,1,37.91881,15.986405
PAVIA,IC,Wed,3.5371621621621623,2.0,24,296,101,60,24,45.188843,9.144674
PINETO ATRI,IC,Wed,-1.0,-1.0,1,1,0,0,0,42.607736,14.069072
PISA CENTRALE,IC,Wed,2.7467811158798283,2.0,25,233,84,49,15,43.70794,10.398183
POLIGNANO A MARE,IC,Wed,12.96,7.0,2,25,16,15,10,40.990926,17.218676
POLLINA,IC,Wed,11.117647058823529,-7.0,2,17,8,8,8,38.018,14.175943
