stop_name,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
MONTESILVANO,Sun,1.7397260273972603,1.0,21,219,30,18,6,42.515766,14.152567
MONTEVARCHI TERRANUOVA,Sun,2.8219178082191783,2.0,56,657,171,108,30,43.525165,11.563983
MONTIRONE,Sun,2.0055555555555555,0.0,15,180,31,19,9,45.451352,10.239482
MONTJOVET,Sun,10.0,4.0,1,2,2,1,1,45.704586,7.666871
MORNAGO CIMBRO,Sun,0.4855769230769231,0.0,25,208,12,8,4,45.729742,8.734193
MOROLO,Sun,1.0985221674876848,1.0,16,203,22,8,2,41.667018,13.194557
MORTARA,Sun,2.2915451895043732,1.0,36,343,63,39,13,45.252171,8.731639
MUSIANO-PIAN DI MACINA,Sun,2.5194805194805197,2.0,31,231,30,18,7,44.402423,11.344912
NAPOLI AFRAGOLA,Sun,5.512038523274478,3.0,54,623,282,211,112,,
NAPOLI CAMPI FLEGREI,Sun,-1.4763285024154589,-2.0,168,2070,56,35,21,40.822462,14.194649
NAPOLI CENTRALE,Sun,1.7461818181818183,-1.0,128,1375,382,287,163,40.852933,14.272908
NAPOLI PIAZZA GARIBALDI,Sun,14.6,9.0,5,5,4,4,2,40.852326,14.275159
NOCERA SUPERIORE,Sun,3.2546972860125263,2.0,41,479,121,60,25,40.742597,14.672398
NOTARESCO,Sun,8.461538461538462,8.0,1,13,13,13,1,42.706502,13.876365
NOVATE-MEZZOLA,Sun,1.361878453038674,0.0,31,362,40,25,18,46.216595,9.446573
OCCHIOBELLO,Sun,7.388888888888889,4.0,3,36,22,11,5,44.899384,11.621197
OFFIDA CASTEL DI LAMA,Sun,2.240740740740741,1.0,13,162,24,7,6,42.862074,13.720285
OLEVANO,Sun,2.1769230769230767,1.0,10,130,23,11,0,45.212119,8.71182
ORIO LITTA,Sun,3.0785340314136125,2.0,17,191,61,27,3,45.166778,9.550592
ORIOLO,Sun,1.8883495145631068,1.0,19,206,50,23,4,42.166825,12.138499
ORISTANO,Sun,1.180094786729858,1.0,19,211,42,17,10,39.902033,8.603974
ORNAVASSO,Sun,2.0384615384615383,1.0,8,104,10,5,2,45.970296,8.415892
OSPEDALETTO LODIGIANO,Sun,0.8429319371727748,0.0,17,191,34,16,2,45.16933,9.575164
OSPITALETTO MANTOVANO,Sun,3.909090909090909,2.0,2,22,9,3,1,45.129748,10.604406
OSTUNI,Sun,2.41871921182266,1.0,38,406,95,50,17,40.752356,17.580809
OTTAVIA,Sun,2.2661290322580645,2.0,67,744,130,58,8,,
OVADA,Sun,1.2171052631578947,1.0,14,152,20,9,1,44.630377,8.632301
OZIERI CHILIVANI,Sun,1.3266129032258065,0.0,20,248,47,30,9,40.609496,8.933744
OZZANO DELL'EMILIA,Sun,4.760180995475113,3.0,19,221,101,51,11,44.450797,11.487297
PACE DEL MELA,Sun,1.9870129870129871,1.0,6,77,17,5,2,38.202459,15.312676
PACECO,Sun,-0.26,-1.0,4,50,2,2,1,37.991354,12.550844
PAGANI,Sun,4.102222222222222,3.0,38,450,172,87,23,40.74654,14.616996
PALAGIANELLO,Sun,1.2907801418439717,0.0,11,141,14,9,5,40.610906,16.975202
PALAZZOLO SULL`OGLIO,Sun,2.2824074074074074,1.0,43,432,74,28,10,45.601486,9.896235
PALESTRO,Sun,2.0,1.0,9,63,6,1,1,45.307274,8.534511
PALLANZENO,Sun,2.2637362637362637,1.0,7,91,12,4,2,46.043533,8.260645
PALMA S.GENNARO,Sun,4.703030303030303,3.0,17,165,80,41,15,40.864149,14.540472
PANTANELLA,Sun,1.8516483516483517,3.0,14,182,56,17,1,,
PAOLA,Sun,1.491628614916286,-1.0,66,657,125,92,53,39.359442,16.033093
PARTINICO,Sun,3.16,2.0,8,100,30,13,7,38.05857,13.108956
PAVIA PORTA GARIBALDI,Sun,3.3350785340314135,3.0,17,191,63,20,3,45.183996,9.167331
PERUGIA,Sun,1.1875,0.0,22,208,41,28,9,43.103808,12.375567
PESSIONE,Sun,2.6478260869565218,2.0,18,230,52,21,7,44.965132,7.841321
PIANA,Sun,2.368,1.0,10,125,28,16,4,44.486383,8.308796
PIANA BELLA MONTELIBRETTI,Sun,1.8676258992805754,1.0,85,695,36,20,6,42.105159,12.632938
PIAZZA CAVOUR,Sun,-0.6673189823874756,-2.0,93,511,26,22,17,40.855248,14.255175
PICERNO,Sun,3.1724137931034484,1.0,9,87,25,20,8,40.640122,15.641612
PIEVE ALBIGNOLA,Sun,5.219101123595506,4.0,16,178,125,48,7,45.116248,8.959723
PIEVE EMANUELE,Sun,6.0,6.0,1,1,1,1,0,,
PIEVE LIGURE,Sun,11.0,11.0,1,1,1,1,1,44.372644,9.090975
PINAROLO PO,Sun,2.6433566433566433,1.0,12,143,27,17,7,45.073415,9.170273
PINEROLO OLIMPICA,Sun,2.8405797101449277,3.0,16,207,37,13,0,44.893325,7.349043
PIOMBINO DESE,Sun,2.217488789237668,2.0,39,446,62,32,13,45.60944,12.00058
PIRAINETO,Sun,0.17842323651452283,0.0,38,482,6,6,3,38.169148,13.14256
PISA SAN ROSSORE,Sun,2.3887733887733886,2.0,80,962,231,107,29,43.723702,10.387363
PISTOIA OVEST,Sun,1.0701754385964912,0.0,9,114,7,4,2,,
POGGIBONSI,Sun,2.0913461538461537,1.0,33,416,111,53,14,43.468093,11.149455
POGGIO - CAREGGINE - VAGLI,Sun,3.226950354609929,2.0,11,141,48,19,4,44.148541,10.350626
POGGIO RENATICO,Sun,4.444444444444445,3.0,14,171,79,47,16,44.767292,11.483701
POMEZIA - S.PALOMBA,Sun,1.327319587628866,1.0,31,388,46,21,9,41.706171,12.573611
POMPEI,Sun,2.5940803382663846,1.0,40,473,129,71,21,40.745918,14.501109
PONTE DI NONA,Sun,0.13852813852813853,-1.0,18,231,27,20,6,42.061563,13.581585
PONTE D`ADDA,Sun,4.396428571428571,2.0,25,280,103,69,24,45.184352,9.790737
PONTECAGNANO,Sun,2.5895316804407713,1.0,29,363,89,53,23,40.641033,14.870272
PONTEDERA CASCIANA TERME,Sun,1.29,1.0,80,1000,184,90,23,43.662145,10.628773
PONTI,Sun,2.2698412698412698,1.0,10,126,24,12,4,44.629979,8.365262
POPOLI VITTORITO,Sun,-0.16993464052287582,-1.0,12,153,5,3,1,42.172354,13.826152
POPULONIA,Sun,2.05,2.0,6,20,2,2,1,42.996412,10.540659
PORDENONE,Sun,0.9704797047970479,-1.0,47,542,59,39,23,45.956281,12.654126
PORRETTA  TERME,Sun,1.2049180327868851,1.0,20,244,47,13,3,44.155757,10.978039
PORTO DI VASTO,Sun,2.5384615384615383,2.0,4,52,16,6,2,42.167774,14.698057
PORTO RECANATI,Sun,0.0,0.0,1,1,0,0,0,43.433726,13.661464
POSSIDENTE,Sun,2.606299212598425,1.0,20,254,46,20,5,40.781144,15.777104
POSTO COMUNICAZIONE DOLCE`,Sun,2.746031746031746,1.0,15,189,61,37,9,45.601513,10.850588
POTENZA MACCHIA ROMANA,Sun,2.3625,2.0,19,240,28,8,3,,
POTENZA PICENA MONTELUPONE,Sun,6.666666666666667,7.0,3,3,3,2,0,43.36991,13.59265
PRAJA AJETA TORTORA,Sun,3.6168582375478926,2.0,22,261,94,68,21,39.900832,15.780628
PRATA CAMPORTACCIO,Sun,2.1783625730994154,1.0,29,342,43,29,17,,
