stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
ROVATO,,Sun,-10.0,-10.0,1,1,0,0,0
S. DONA` DI PIAVE,,Sun,-1.1923076923076923,-2.0,2,26,2,2,1
S.BENEDETTO DEL TRONTO,,Sun,8.636363636363637,5.0,12,143,79,70,39
SCALEA S.DOMENICA TALAO,,Sun,8.395833333333334,5.0,6,48,33,20,7
TERMOLI,,Sun,3.404255319148936,-1.0,19,235,71,59,39
TERONTOLA CORTONA,,Sun,9.384615384615385,10.0,1,13,12,10,5
TORANO LATTARICO,,Sun,9.434782608695652,1.0,2,23,10,8,7
TORINO LINGOTTO,,Sun,-0.32,-1.0,2,25,4,1,0
TRENTO,,Sun,3.832116788321168,2.0,12,137,41,23,9
TREVISO C.,,Sun,1.9791666666666667,-1.0,4,48,13,8,3
UDINE,,Sun,-0.72,-3.0,2,25,3,3,2
VENEZIA MESTRE,,Sun,1.2804428044280443,-1.0,69,813,106,75,48
VILLA SAN GIOVANNI,,Sun,1.436046511627907,-2.0,16,172,28,22,13
ANCONA,,Sun,4.149501661129568,1.0,25,301,118,91,60
ASTI,,Sun,2.68,2.0,2,25,9,5,1
BERGAMO,,Sun,-2.4838709677419355,-4.0,3,31,4,4,3
CASSINO,,Sun,5.173913043478261,-1.0,2,23,5,4,3
CHIAVARI,,Sun,3.93859649122807,3.0,10,114,51,33,15
FAENZA,,Sun,9.507692307692308,5.0,6,65,36,29,21
FIDENZA,,Sun,21.0,0.0,2,2,1,1,1
GENOVA P.PRINCIPE,,Sun,4.964285714285714,3.0,12,140,65,50,24
GROSSETO,,Sun,3.047244094488189,1.0,11,127,40,28,17
LAMEZIA TERME CENTRALE,,Sun,3.0755813953488373,0.0,16,172,42,27,14
LECCE,,Sun,1.3615384615384616,-3.0,11,130,32,25,14
MILANO ROGOREDO,,Sun,4.25557461406518,2.0,54,583,191,135,76
NAPOLI AFRAGOLA,,Sun,5.512038523274478,3.0,54,623,282,211,112
NAPOLI CENTRALE,,Sun,4.971223021582734,2.0,51,556,236,187,107
OULX CESANA CLAVIERE SESTRIERE,,Sun,2.130434782608696,-1.0,2,23,4,4,1
PADOVA,,Sun,1.4764930114358323,-1.0,66,787,133,93,52
PIACENZA,,Sun,3.767857142857143,2.0,5,56,24,19,7
RAPALLO,,Sun,8.6,7.0,2,5,5,3,2
REGGIO EMILIA AV,,Sun,5.934,4.0,47,500,261,183,77
RHO FIERA MILANO,,Sun,3.207865168539326,1.0,19,178,50,26,17
ROMA TIBURTINA,,Sun,2.194327731092437,0.0,94,952,226,164,84
TORINO P.NUOVA,,Sun,6.026315789473684,1.0,21,228,82,61,38
VERONA PORTA NUOVA,,Sun,2.98731884057971,1.0,49,552,160,112,48
VICENZA,,Sun,2.0090361445783134,0.0,30,332,66,44,20
BENEVENTO,,Sun,2.390728476821192,2.0,14,151,48,41,19
BOLOGNA C.LE/AV,,Sun,2.5606531881804044,0.0,119,1286,349,254,128
BRESCIA,,Sun,3.3033175355450237,1.0,38,422,118,70,30
CARPI,,Sun,2.5454545454545454,0.0,2,22,6,4,1
CERIGNOLA,,Sun,58.0,58.0,1,1,1,1,1
CIVITAVECCHIA,,Sun,1.9291338582677164,0.0,11,127,42,33,17
CONEGLIANO,,Sun,2.3125,1.0,4,48,9,7,3
FABRIANO,,Sun,4.791666666666667,-1.0,2,24,6,4,3
FERRANDINA,,Sun,-0.4444444444444444,-1.0,1,9,0,0,0
FORLI`,,Sun,6.722972972972973,3.0,13,148,71,60,45
GIOIA TAURO,,Sun,1.9038461538461537,-1.0,4,52,8,8,5
JESI,,Sun,3.6666666666666665,-3.0,2,24,5,5,3
LA SPEZIA CENTRALE,,Sun,4.0182926829268295,3.0,14,164,79,52,16
LIVORNO CENTRALE,,Sun,2.8086956521739133,2.0,11,115,40,25,9
MASSA CENTRO,,Sun,3.7549668874172184,3.0,13,151,70,47,11
MILANO PORTA GARIBALDI,,Sun,2.4324324324324325,0.0,16,185,52,32,17
MONFALCONE,,Sun,1.1224489795918366,0.0,5,49,6,4,2
PAOLA,,Sun,2.1538461538461537,0.0,18,195,48,34,19
PARMA,,Sun,5.616071428571429,4.0,19,224,120,93,33
PERUGIA,,Sun,0.0,1.0,1,13,3,1,0
PORTOGRUARO CAORLE,,Sun,0.6153846153846154,1.0,2,26,5,0,0
RAVENNA,,Sun,9.833333333333334,2.0,1,12,5,3,3
REGGIO EMILIA,,Sun,7.098214285714286,5.0,19,224,145,104,46
ROSARNO,,Sun,3.7674418604651163,1.0,16,172,47,35,17
SALERNO,,Sun,1.6944444444444444,-2.0,28,324,80,67,48
SAPRI,,Sun,2.0933333333333333,1.0,6,75,18,13,7
SARZANA,,Sun,4.32,4.0,2,25,13,10,2
TELESE CERRETO,,Sun,10.0,10.0,1,1,1,1,0
TERNI,,Sun,10.0,1.0,1,12,5,3,2
TRIESTE AIRPORT,,Sun,1.1666666666666667,-1.0,7,72,9,7,3
TRIESTE CENTRALE,,Sun,0.9166666666666666,-2.0,4,36,5,4,3
