stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
AUGUSTA,IC,9.657342657342657,2.0,17,429,174,141,89,37.24334,15.218628
BAGNARA,IC,10.837209302325581,7.0,6,43,26,23,9,38.282695,15.800327
BARI S. SPIRITO,IC,31.0,20.0,1,3,3,3,3,41.159653,16.746324
BARLETTA,IC,6.528266913809082,3.0,25,1079,519,372,184,41.315227,16.278867
BELLA MURO,IC,6.422077922077922,4.0,4,308,179,117,50,40.700914,15.542936
BORDIGHERA,IC,4.020793950850662,3.0,15,529,218,138,57,43.778313,7.663504
BOTRICELLO,IC,10.515759312320917,7.0,4,349,296,241,116,38.933943,16.857433
BRINDISI,IC,3.9958100558659218,1.0,19,716,213,143,84,40.634339,17.938978
CAMOGLI SAN FRUTTUOSO,IC,7.0,7.0,2,5,3,3,1,44.348166,9.156743
CAPODACQUA PIEVE FANONICA,IC,-1.1428571428571428,-2.0,1,7,1,0,0,43.026769,12.7541
CARIATI,IC,13.48137535816619,11.0,4,349,281,263,180,39.496884,16.952018
CARRARA AVENZA,IC,9.03448275862069,5.0,9,29,15,13,7,44.051239,10.062927
CASERTA,IC,9.59047619047619,7.0,11,210,114,109,97,41.068655,14.328457
CASTELLANETA MARINA,IC,-2.0,-2.0,1,1,0,0,0,40.481111,16.965434
CECINA,IC,3.7429718875502007,1.0,9,498,164,122,45,43.31028,10.514225
CESENA,IC,2.5614714424007743,-1.0,20,1033,326,246,124,44.145449,12.24964
CHIUSI C.T.,IC,3.0520833333333335,-2.0,20,768,226,189,122,43.002466,11.957893
CIAMPINO,IC,9.0,9.0,1,1,1,1,0,41.804442,12.599546
CIVITANOVA MARCHE,IC,4.258264462809917,2.0,14,968,392,279,135,43.3091,13.7257
CONEGLIANO,IC,10.863636363636363,1.0,4,22,5,4,3,45.884706,12.298909
CORIGLIANO CALABRO,IC,9.97134670487106,7.0,4,349,251,210,107,39.628223,16.514949
CORNIGLIA,IC,35.0,-4.0,3,4,2,2,2,44.119938,9.711051
ECCELLENTE,IC,60.0,60.0,1,1,1,1,1,38.809696,16.232598
FABRIANO,IC,2.0939086294416245,0.0,6,394,83,56,32,43.345429,12.905336
FERRANDINA,IC,5.652597402597403,1.0,4,308,122,92,50,40.516566,16.475276
FOLIGNO,IC,3.6560332871012484,2.0,13,721,284,197,82,42.954261,12.711096
FOLLONICA,IC,5.302806499261448,3.0,11,677,279,201,92,42.926687,10.755775
FORTE DEI MARMI SERRAVEZZA Q.,IC,4.673469387755102,2.0,3,49,18,11,7,43.97777,10.19936
FOSSATO DI VICO GUBBIO,IC,1.5938375350140057,-1.0,4,357,72,52,34,43.283798,12.757258
FRANCAVILLA FONTANA,IC,5.9907407407407405,2.0,4,108,42,26,14,40.523145,17.584714
FROSINONE,IC,4.4602272727272725,6.0,3,176,90,90,81,41.625333,13.328728
GENOVA BRIGNOLE,IC,2.7120169401799896,1.0,36,1889,605,415,164,44.407213,8.947553
GIUNCANO,IC,2.4,-1.0,4,10,2,1,1,42.647802,12.637694
IMPERIA,IC,5.660847880299252,5.0,26,802,505,333,96,43.88051,8.019182
ISOLA CAPO RIZZUTO,IC,14.666666666666666,12.0,2,6,5,4,4,39.043084,17.071764
JESI,IC,2.2493638676844783,1.0,6,393,83,55,37,43.520164,13.251316
LATIANO,IC,9.066666666666666,2.0,1,15,5,3,2,40.558074,17.717629
LOCRI,IC,8.339943342776204,4.0,4,353,198,147,84,38.233154,16.264787
MESAGNE,IC,31.0,32.0,1,5,4,4,3,40.563203,17.802082
METAPONTO,IC,5.140672782874618,2.0,8,654,265,211,106,40.368496,16.815176
MILAZZO,IC,9.672727272727272,2.0,10,275,116,92,65,38.21195,15.244203
MOLFETTA,IC,6.892156862745098,3.0,21,1020,502,342,190,41.196008,16.596793
MONASTERACE STILO,IC,5.991501416430595,3.0,4,353,157,119,66,38.437591,16.574444
NAPOLI S.GIOV.BARRA,IC,27.0,27.0,1,1,1,1,1,40.831269,14.307811
NICOTERA,IC,9.634146341463415,4.0,6,41,27,15,5,38.549328,15.933749
NOVARA,IC,2.700507614213198,1.0,4,197,37,21,9,45.451376,8.624895
ORTE,IC,4.871046228710462,2.0,24,1233,489,353,175,42.43728,12.408986
PADOVA,IC,6.043189368770764,2.0,9,301,121,79,50,45.417846,11.880794
PALIZZI,IC,46.5,20.0,2,6,5,5,5,37.91881,15.986405
PERUGIA,IC,5.493927125506073,3.0,4,247,105,82,35,43.103808,12.375567
PIETRA LIGURE,IC,7.877551020408164,7.0,5,49,38,30,10,44.145345,8.277403
PIETRASANTA,IC,4.551020408163265,2.0,3,49,17,12,7,43.95583,10.229731
PINETO ATRI,IC,3.6,5.0,2,5,3,2,0,42.607736,14.069072
PISCIOTTA PALINURO,IC,19.7987012987013,7.0,10,308,195,168,120,40.091539,15.243601
PORDENONE,IC,13.863636363636363,2.0,4,22,9,5,3,45.956281,12.654126
PORTO S. GIORGIO FERMO,IC,4.885093167701863,3.0,14,966,451,317,138,43.17972,13.7975
REGGIO CALABRIA CENTRALE,IC,3.5945378151260505,-2.0,10,476,152,113,72,38.103884,15.635844
RIMINIFIERA,IC,6.814814814814815,3.0,7,81,34,27,13,,
ROCCALUMERA MANDANICI,IC,22.055555555555557,12.0,2,18,12,11,10,37.972946,15.391411
ROMA AURELIA,IC,5.0,5.0,1,1,1,0,0,41.88344,12.395271
ROMA CASILINA,IC,45.4,40.0,4,5,4,4,3,41.87669,12.537297
ROMA S.PIETRO,IC,6.63265306122449,3.0,3,49,19,14,10,41.896143,12.454497
S. MARGHERITA LIGURE PORTOFINO,IC,3.7397910731244064,2.0,13,1053,364,261,94,44.33676,9.216673
S.CATERINA DELL`JONIO,IC,6.0,6.0,1,1,1,1,0,38.530452,16.571093
SANTO STEFANO DI CAMASTRA,IC,18.404761904761905,1.0,6,84,36,32,29,38.01778,14.35104
SAPRI,IC,8.386387434554974,2.0,24,955,402,339,203,40.078013,15.627204
TAGGIA ARMA,IC,5.428849902534113,4.0,13,513,281,173,65,43.840764,7.835604
TERMINI IMERESE,IC,2.7226277372262775,-2.0,10,274,61,51,39,37.980132,13.703631
TERNI,IC,5.073107049608355,4.0,13,383,204,125,43,42.570768,12.651091
TREBISACCE,IC,8.522988505747126,6.0,4,348,235,175,78,39.865561,16.532173
TRIESTE CENTRALE,IC,3.2869565217391306,1.0,4,115,24,14,6,45.657456,13.771873
UDINE,IC,11.590909090909092,2.0,4,22,7,5,2,46.055791,13.242003
VALLO DELLA LUC. CASTELNUOVO,IC,12.808373590982287,4.0,11,621,344,282,171,40.233316,15.266511
VENTIMIGLIA,IC,6.314220183486238,5.0,12,436,255,194,76,43.792561,7.610224
VILLANOVA,IC,3.9545454545454546,2.0,2,22,8,4,2,44.963159,7.947136
ALASSIO,IC,7.652933832709113,7.0,26,801,612,482,173,44.007889,8.17112
ALBACINA,IC,2.7142857142857144,3.0,1,7,2,2,1,43.345686,12.986501
ALCANTARA,IC,10.185185185185185,1.0,2,27,9,9,8,37.82145,15.251158
ALESSANDRIA,IC,1.9457735247208932,1.0,17,627,162,97,32,44.909091,8.606498
AMANTEA,IC,8.445876288659793,2.0,20,776,258,184,114,39.134353,16.068448
AREZZO,IC,4.955675675675676,2.0,21,925,366,250,137,43.461725,11.874189
ARIANO IRPINO,IC,2.95,1.0,4,200,61,48,28,41.181883,15.117508
BARI CENTRALE,IC,3.358093126385809,0.0,23,902,284,209,124,41.11774,16.869601
BATTIPAGLIA,IC,9.852140077821012,3.0,16,1028,463,361,236,40.605789,14.98324
BIANCO,IC,1.0,1.0,1,1,0,0,0,38.089072,16.153348
BOVALINO,IC,9.121813031161473,5.0,4,353,223,162,92,38.149087,16.180584
BUSSOLENO,IC,1.391304347826087,-2.0,2,46,4,3,3,45.139631,7.144819
CALOPEZZATI,IC,17.666666666666668,12.0,1,3,3,3,2,39.579022,16.819361
CAMPIGLIA MARITTIMA,IC,5.7984496124031,3.0,8,516,236,174,79,43.017118,10.586558
CANCELLO,IC,19.25,2.0,3,4,2,2,2,40.993063,14.418877
CAPACCIO ROCCADASPIDE,IC,4.67816091954023,1.0,3,261,82,52,33,40.454518,15.013551
CAPO D`ORLANDO-NASO,IC,11.232727272727272,4.0,10,275,144,113,68,38.157941,14.744844
CASARSA,IC,14.409090909090908,4.0,4,22,12,9,3,45.953002,12.8406
CASSINO,IC,7.1477272727272725,7.0,3,176,89,89,80,41.484306,13.832125
CASTELBOLOGNESE,IC,-0.5,-1.0,1,2,0,0,0,44.325391,11.804174
CATANIA CENTRALE,IC,9.11136890951276,2.0,17,431,169,139,109,37.506211,15.099417
CATANZARO LIDO,IC,8.464387464387464,6.0,4,351,220,179,91,38.821788,16.612975
CEFALU`,IC,5.366300366300366,-2.0,10,273,67,56,45,38.03285,14.019526
CHIAVARI,IC,4.07757644394111,2.0,31,1766,608,431,171,44.315156,9.322464
CHIEUTI SERRACAPRIOLA,IC,11.263157894736842,5.0,2,19,12,8,6,41.921962,15.156645
CIRO',IC,11.601719197707736,9.0,4,349,257,224,152,39.368701,17.116997
CIVITAVECCHIA,IC,7.254480286738351,3.0,17,558,257,210,120,42.088287,11.79815
CROTONE,IC,10.318051575931232,6.0,4,349,233,190,137,39.0845,17.108418
CUTRO,IC,13.01123595505618,10.0,1,89,76,67,40,39.02593,16.963809
DIANO,IC,11.083333333333334,8.0,5,12,11,11,5,,
EBOLI,IC,8.143322475570033,4.0,4,307,182,128,60,40.611057,15.052382
FALCONARA MARITTIMA,IC,1.0,1.0,12,416,82,50,33,43.630577,13.397378
FANO,IC,3.5025641025641026,1.0,15,975,265,198,105,43.842977,13.02478
FASANO,IC,4.702302631578948,2.0,15,608,190,144,82,40.851753,17.3859
FIDENZA,IC,4.175908221797323,1.0,24,1046,348,250,136,44.86773,10.06339
FIRENZE CAMPO MARTE,IC,7.536873156342183,3.0,25,339,151,120,80,43.776856,11.27702
FIRENZE CASTELLO,IC,34.6,25.0,1,10,10,9,9,43.819444,11.21838
FIRENZE RIFREDI,IC,1.2190305206463197,-2.0,11,557,130,99,49,43.800873,11.235729
FOGGIA,IC,4.109360518999074,2.0,25,1079,402,316,170,41.466,15.555816
FORLI`,IC,4.304937076476283,1.0,20,1033,385,289,146,44.22413,12.054871
FORMIA-GAETA,IC,7.353444180522565,4.0,42,2105,1058,735,377,41.258773,13.605996
FUSCALDO,IC,6.0,6.0,1,1,1,1,0,39.409692,16.011475
GENOVA P.PRINCIPE,IC,2.4782931354359925,1.0,51,2695,780,552,233,44.417784,8.9207
GIARRE RIPOSTO,IC,11.203233256351039,3.0,17,433,209,176,124,37.730346,15.193386
GIOIA TAURO,IC,7.308577405857741,0.0,24,956,305,257,172,38.423436,15.897516
GIOJOSA MAREA,IC,3.3333333333333335,3.0,2,9,3,2,1,38.175149,14.894794
GORIZIA CENTRALE,IC,8.727272727272727,-2.0,4,22,5,4,2,45.933047,13.60684
GRASSANO,IC,6.642857142857143,3.0,4,308,136,94,50,40.593317,16.241049
LA SPEZIA CENTRALE,IC,3.2985915492957747,1.0,36,1775,554,382,176,44.11141,9.813906
LAMEZIA TERME CENTRALE,IC,7.68213228035538,1.0,29,1013,332,262,178,38.921347,16.255577
LATISANA LIGNANO B.,IC,2.392857142857143,1.0,5,280,67,38,16,45.777733,13.001101
LECCE,IC,4.480676328502415,1.0,10,414,124,89,57,40.34566,18.165724
LENTINI,IC,11.876456876456876,5.0,16,429,239,199,112,37.300916,14.99758
LOANO,IC,6.755102040816326,6.0,5,49,33,26,8,44.122429,8.254523
LORETO,IC,2.623931623931624,0.0,4,117,32,15,9,43.448376,13.620455
MARATEA,IC,13.556008146639511,4.0,12,491,257,211,132,39.995028,15.70975
MASSA CENTRO,IC,4.336835193696651,2.0,21,1523,589,378,164,44.023741,10.136041
MELITO DI PORTO SALVO,IC,6.4491525423728815,3.0,4,354,163,131,65,37.916732,15.780816
MESSINA CENTRALE,IC,8.693726937269373,0.0,22,542,202,164,117,38.184975,15.561278
MESSINA MARITTIMA,IC,22.427807486631018,10.0,11,187,115,97,80,38.14988,15.534997
MILANO CENTRALE,IC,2.012836970474968,0.0,33,1558,403,281,160,45.486347,9.204528
MILANO LAMBRATE,IC,3.8134920634920637,2.0,5,252,83,51,24,45.484933,9.237333
MILANO ROGOREDO,IC,2.6470588235294117,1.0,27,1530,390,256,115,45.433866,9.2391
MONOPOLI,IC,5.599670510708402,2.0,15,607,224,170,106,40.952017,17.292455
MONSELICE,IC,6.51,3.0,6,200,93,67,29,45.246116,11.74789
MONTEROSSO,IC,2.5455202312138727,1.0,18,1384,338,224,97,44.145967,9.649009
NAPOLI CENTRALE,IC,3.685031185031185,1.0,37,1924,688,506,296,40.852933,14.272908
NOVI LIGURE,IC,0.5547169811320755,-1.0,3,265,37,21,8,44.762521,8.787289
ORBETELLO,IC,7.9817073170731705,3.0,3,164,81,61,31,42.450615,11.248972
ORVIETO,IC,5.056728232189974,1.0,19,758,245,202,119,42.723379,12.127412
OSTUNI,IC,4.577302631578948,2.0,15,608,204,148,84,40.752356,17.580809
P.M.TORRICCHIO,IC,2.0,2.0,1,1,0,0,0,,
