stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
SAPRI,ICN,Thu,7.04,2.0,3,25,11,10,7,40.078013,15.627204
TAORMINA,ICN,Thu,6.0,3.0,5,42,21,13,7,37.845429,15.282584
VIAREGGIO,ICN,Thu,10.764705882352942,-6.0,2,17,5,5,3,43.865947,10.257886
VILLA SAN GIOVANNI,ICN,Thu,7.183673469387755,0.0,6,49,19,18,12,38.216638,15.634336
VOGHERA,ICN,Thu,11.631578947368421,4.0,2,19,11,9,5,44.9978,9.007942
ACIREALE,ICN,Thu,4.878048780487805,2.0,5,41,15,14,8,37.600514,15.163697
AMANTEA,ICN,Thu,2.92,-1.0,3,25,9,5,5,39.134353,16.068448
ANCONA,ICN,Thu,0.515625,1.0,6,64,26,20,12,43.607734,13.497665
AREZZO,ICN,Thu,-1.588235294117647,0.0,4,17,4,4,1,43.461725,11.874189
ASCEA,ICN,Thu,3.0,2.0,1,8,3,1,1,40.140955,15.172626
BARI CENTRALE,ICN,Thu,-0.796875,-3.0,6,64,10,6,3,41.11774,16.869601
GORIZIA CENTRALE,ICN,Thu,1.7142857142857142,-1.0,5,21,3,2,2,45.933047,13.60684
LAMEZIA TERME CENTRALE,ICN,Thu,9.880952380952381,6.0,5,42,28,22,16,38.921347,16.255577
LATINA,ICN,Thu,8.126984126984127,3.0,6,63,27,22,15,41.538372,12.945888
LECCE,ICN,Thu,-3.392857142857143,-3.0,3,28,0,0,0,40.34566,18.165724
MARATEA,ICN,Thu,5.625,1.0,1,8,4,3,2,39.995028,15.70975
MILANO CENTRALE,ICN,Thu,10.71875,3.0,3,32,16,13,10,45.486347,9.204528
MILAZZO,ICN,Thu,7.483870967741935,2.0,6,62,25,22,16,38.21195,15.244203
MONFALCONE,ICN,Thu,7.333333333333333,2.0,5,21,5,4,3,45.807683,13.542929
NAPOLI CENTRALE,ICN,Thu,1.4838709677419355,-1.0,6,62,20,16,12,40.852933,14.272908
ORVIETO,ICN,Thu,-0.6470588235294118,-2.0,2,17,2,1,1,42.723379,12.127412
PESCARA,ICN,Thu,0.640625,-1.0,6,64,19,16,10,42.467789,14.205066
ROMA TERMINI,ICN,Thu,0.0967741935483871,0.0,6,31,9,7,4,41.900636,12.502026
S.BENEDETTO DEL TRONTO,ICN,Thu,-0.8333333333333334,-3.0,1,12,1,1,1,42.954386,13.882297
TERMINI IMERESE,ICN,Thu,2.370967741935484,-1.0,6,62,11,10,8,37.980132,13.703631
TORINO PORTA SUSA,ICN,Thu,7.428571428571429,2.0,2,21,8,7,3,45.075906,7.667673
TORTONA,ICN,Thu,14.157894736842104,7.0,2,19,13,11,5,44.900126,8.861777
TREVISO C.,ICN,Thu,3.142857142857143,0.0,5,21,3,3,2,45.659608,12.24614
TRIESTE CENTRALE,ICN,Thu,4.636363636363637,-3.0,1,11,2,2,2,45.657456,13.771873
