stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
TRIESTE AIRPORT,IC,Thu,1.5897435897435896,0.0,3,39,5,4,1
TROPEA,IC,Thu,-0.8571428571428571,-2.0,4,7,1,1,1
VENEZIA MESTRE,IC,Thu,2.1666666666666665,0.0,5,42,13,6,3
VIAREGGIO,IC,Thu,4.986666666666666,3.0,22,225,91,60,27
VIBO MARINA,IC,Thu,2.2857142857142856,0.0,4,7,2,2,1
VIBO VALENZIA PIZZO,IC,Thu,5.201923076923077,2.0,10,104,34,24,14
VILLA LITERNO,IC,Thu,70.0,70.0,1,1,1,1,1
VILLA S.GIOVANNI MARE,IC,Thu,19.838709677419356,15.0,7,31,22,21,16
ALBENGA,IC,Thu,8.27927927927928,6.0,10,111,84,60,28
ALESSANDRIA,IC,Thu,2.989130434782609,1.0,13,92,25,16,4
ASTI,IC,Thu,5.5978260869565215,3.0,13,92,42,24,9
AUGUSTA,IC,Thu,10.602941176470589,3.0,12,68,31,26,21
BAGNARA,IC,Thu,6.857142857142857,9.0,4,7,5,5,1
BARI S. SPIRITO,IC,Thu,61.0,61.0,1,1,1,1,1
BENEVENTO,IC,Thu,2.2,0.0,3,25,9,7,2
BITETTO PALO DEL COLLE,IC,Thu,61.0,61.0,1,1,1,1,1
BOLOGNA C.LE,IC,Thu,3.991869918699187,2.0,31,246,86,62,37
BOTRICELLO,IC,Thu,10.846153846153847,7.0,4,52,43,35,18
CAMOGLI SAN FRUTTUOSO,IC,Thu,3.0,3.0,1,1,0,0,0
CARRARA AVENZA,IC,Thu,8.5,3.0,4,4,2,2,1
CEFALU`,IC,Thu,1.2307692307692308,-2.0,8,39,4,4,4
CESENA,IC,Thu,3.6496350364963503,1.0,14,137,58,45,23
CHIUSI C.T.,IC,Thu,3.272727272727273,-1.0,14,121,37,32,21
CIRO',IC,Thu,11.903846153846153,7.0,4,52,38,32,23
FERRARA,IC,Thu,4.348837209302325,1.0,6,43,13,9,3
FINALE LIGURE MARINA,IC,Thu,6.918181818181818,5.0,10,110,71,48,23
FOGGIA,IC,Thu,4.337837837837838,2.0,18,148,58,45,19
GENOVA BRIGNOLE,IC,Thu,2.7715355805243447,1.0,26,267,91,59,20
GIOIA TAURO,IC,Thu,6.718518518518518,1.0,16,135,51,43,28
GIOIOSA JONICA,IC,Thu,8.23076923076923,5.0,4,52,28,26,13
GIULIANOVA,IC,Thu,5.41044776119403,4.0,11,134,70,43,17
GRASSANO,IC,Thu,8.893617021276595,3.0,4,47,19,16,9
MESAGNE,IC,Thu,30.0,8.0,1,2,2,2,1
MESSINA CENTRALE,IC,Thu,10.380952380952381,2.0,16,84,36,27,19
MILANO CENTRALE,IC,Thu,0.9641255605381166,0.0,22,223,46,34,18
MODENA,IC,Thu,3.79375,1.0,18,160,54,41,28
MONASTERACE STILO,IC,Thu,6.269230769230769,2.0,4,52,23,21,11
MONFALCONE,IC,Thu,1.7906976744186047,1.0,6,43,5,3,1
NAPOLI CENTRALE,IC,Thu,5.368613138686132,2.0,26,274,108,73,46
NOVARA,IC,Thu,1.7142857142857142,1.0,3,28,7,3,0
NOVI LIGURE,IC,Thu,0.5641025641025641,-1.0,3,39,8,5,1
OSTUNI,IC,Thu,4.714285714285714,1.0,10,84,26,20,13
PALERMO CENTRALE,IC,Thu,-8.8,-17.0,3,10,2,2,2
PALMI,IC,Thu,8.0,9.0,4,6,5,5,1
PAVIA,IC,Thu,3.0484429065743943,2.0,24,289,96,63,17
PESCARA,IC,Thu,5.2444444444444445,2.0,16,135,59,41,20
PIACENZA,IC,Thu,0.650887573964497,-1.0,21,169,40,27,19
PINETO ATRI,IC,Thu,6.0,6.0,1,1,1,1,0
PISA CENTRALE,IC,Thu,5.235807860262009,3.0,24,229,94,57,27
PISCIOTTA PALINURO,IC,Thu,15.727272727272727,8.0,6,44,27,24,18
PORTOGRUARO CAORLE,IC,Thu,3.923076923076923,2.0,3,39,10,4,4
REGGIO EMILIA,IC,Thu,6.534591194968553,3.0,18,159,78,51,30
RICADI,IC,Thu,-1.1666666666666667,-6.0,4,6,2,1,1
RICCIONE,IC,Thu,2.511278195488722,0.0,11,133,37,30,15
SESTRI LEVANTE,IC,Thu,1.78125,1.0,21,256,82,55,18
SQUILLACE,IC,Thu,16.0,16.0,1,1,1,1,1
TAORMINA,IC,Thu,13.91044776119403,4.0,12,67,37,32,29
TARANTO,IC,Thu,4.787878787878788,-2.0,8,66,20,15,11
TELESE CERRETO,IC,Thu,7.625,6.0,2,24,18,13,6
TORTONA,IC,Thu,5.822429906542056,5.0,10,107,60,40,15
TRIESTE CENTRALE,IC,Thu,2.9285714285714284,0.0,2,14,1,1,1
VALLO DELLA LUC. CASTELNUOVO,IC,Thu,10.098901098901099,4.0,9,91,46,35,24
VILLA CASTELLI,IC,Thu,38.5,17.0,1,2,2,2,2
AGNONE DI S.,IC,Thu,17.166666666666668,0.0,1,6,3,3,2
ALASSIO,IC,Thu,8.7,7.0,10,110,88,68,26
AMANTEA,IC,Thu,5.427272727272728,2.0,14,110,38,30,16
ANCONA,IC,Thu,5.005747126436781,1.0,19,174,65,56,32
AVERSA,IC,Thu,6.609589041095891,2.0,26,292,117,85,50
BORDIGHERA,IC,Thu,4.575342465753424,3.0,7,73,33,20,11
CAPACCIO ROCCADASPIDE,IC,Thu,4.205128205128205,1.0,3,39,13,8,5
CATANIA CENTRALE,IC,Thu,10.985074626865671,3.0,12,67,31,29,24
CATANZARO LIDO,IC,Thu,8.884615384615385,6.0,4,52,33,28,15
CERVIGNANO A.G.,IC,Thu,2.5641025641025643,0.0,3,39,6,5,2
CONEGLIANO,IC,Thu,-5.75,-7.0,3,4,0,0,0
CORIGLIANO CALABRO,IC,Thu,8.846153846153847,7.0,4,52,38,32,15
CROPANI,IC,Thu,11.442307692307692,8.0,4,52,47,42,18
FIRENZE CASTELLO,IC,Thu,32.0,25.0,1,2,2,2,2
FOLLONICA,IC,Thu,5.697916666666667,3.0,8,96,41,28,13
FRANCAVILLA FONTANA,IC,Thu,9.9375,4.0,3,16,10,5,2
FROSINONE,IC,Thu,6.434782608695652,10.0,2,23,12,12,11
GENOVA P.PRINCIPE,IC,Thu,2.5598958333333335,1.0,36,384,110,75,31
GIARRE RIPOSTO,IC,Thu,12.941176470588236,4.0,12,68,36,33,26
GIOIA DEL COLLE,IC,Thu,5.176470588235294,-2.0,4,17,5,3,3
GIUNCANO,IC,Thu,1.0,1.0,1,1,0,0,0
GORIZIA CENTRALE,IC,Thu,1.0,2.0,3,4,0,0,0
IMPERIA,IC,Thu,6.2792792792792795,5.0,10,111,72,48,18
JESI,IC,Thu,3.980392156862745,1.0,4,51,14,12,8
LATINA,IC,Thu,7.026845637583893,2.0,30,298,114,88,50
LENTINI,IC,Thu,13.294117647058824,6.0,12,68,40,35,22
LOCRI,IC,Thu,8.692307692307692,4.0,4,52,28,21,15
MASSA CENTRO,IC,Thu,4.76036866359447,3.0,18,217,104,65,23
MILANO LAMBRATE,IC,Thu,4.0,2.0,3,38,11,6,3
MOLFETTA,IC,Thu,6.76978417266187,4.0,14,139,75,46,22
