stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
CESENA,ICN,3.056603773584906,-3.0,3,212,64,49,33
CHIAVARI,ICN,5.28135593220339,0.0,5,295,86,64,44
CIAMPINO,ICN,13.090909090909092,4.0,1,11,6,4,3
CONEGLIANO,ICN,3.7171052631578947,2.0,5,152,44,37,25
CORNIGLIA,ICN,6.8,5.0,1,5,4,2,1
DOBBIACO,ICN,5.333333333333333,2.0,2,15,4,3,2
FAENZA,ICN,8.607142857142858,3.0,3,224,101,85,65
FIDENZA,ICN,8.290322580645162,3.0,2,62,23,13,10
FIRENZE CASTELLO,ICN,22.0,22.0,1,1,1,1,1
FOGGIA,ICN,4.769722814498934,0.0,8,469,156,122,73
FORLI`,ICN,4.10377358490566,-1.0,3,212,70,62,40
GIARRE RIPOSTO,ICN,1.9659442724458205,1.0,7,323,111,90,43
GORIZIA CENTRALE,ICN,2.183006535947712,-1.0,5,153,42,29,20
LAMEZIA TERME CENTRALE,ICN,9.068965517241379,4.0,6,319,169,137,100
LECCE,ICN,2.0480349344978164,-2.0,4,229,34,25,16
LENTINI,ICN,1.7325227963525835,0.0,7,329,84,64,40
LIVORNO CENTRALE,ICN,5.786885245901639,1.0,5,244,74,56,36
MARATEA,ICN,8.704225352112676,5.0,2,71,42,35,21
MESSINA CENTRALE,ICN,1.3458110516934045,0.0,10,561,114,88,51
MILANO PORTA GARIBALDI,ICN,2.401315789473684,-1.0,2,152,41,31,18
MOLFETTA,ICN,5.48062015503876,0.0,6,258,75,56,35
MONFALCONE,ICN,6.03921568627451,2.0,5,153,56,35,22
MONOPOLI,ICN,4.9058441558441555,1.0,6,308,74,50,24
ORVIETO,ICN,2.8550724637681157,-1.0,4,138,39,35,28
PADOVA,ICN,1.8289473684210527,-3.0,5,152,35,30,23
PALERMO CENTRALE,ICN,-9.68,-13.0,3,175,24,23,17
PARMA,ICN,8.3490990990991,3.0,7,444,201,169,107
PATTI-SAN PIERO PATTI,ICN,3.9683698296836982,-1.0,6,411,136,108,76
PIACENZA,ICN,7.986324786324786,3.0,11,585,278,227,126
PRATO CENTRALE,ICN,6.225806451612903,-3.0,2,62,25,23,18
REGGIO CALABRIA CENTRALE,ICN,12.084745762711865,1.0,1,59,22,17,14
REGGIO CALABRIA LIDO,ICN,5.0,5.0,1,1,1,0,0
REGGIO EMILIA,ICN,9.370748299319727,5.0,5,294,170,147,73
ROMA OSTIENSE,ICN,9.842293906810037,2.0,5,279,125,110,71
ROMA TIBURTINA,ICN,1.7793103448275862,-1.0,4,145,36,32,22
ROSARNO,ICN,11.366336633663366,5.0,4,202,138,98,57
ROVERETO,ICN,1.7317073170731707,1.0,2,41,11,7,5
SACILE,ICN,5.802631578947368,2.0,5,152,61,44,30
SANTO STEFANO DI CAMASTRA,ICN,1.2671755725190839,0.0,2,131,24,17,9
SAPRI,ICN,8.577114427860696,3.0,4,201,92,76,55
SIRACUSA,ICN,-2.3515625,-4.0,4,128,30,23,13
TAORMINA,ICN,1.701219512195122,0.0,7,328,107,74,39
TERMINI IMERESE,ICN,0.31476997578692495,-2.0,6,413,66,50,37
TORINO P.NUOVA,ICN,4.9297124600638975,2.0,4,313,94,65,38
TORINO PORTA SUSA,ICN,3.5294117647058822,1.0,2,153,39,27,13
TRANI,ICN,8.347014925373134,2.0,6,268,97,72,42
TREVISO C.,ICN,3.9934210526315788,0.0,5,152,42,34,24
TRIESTE CENTRALE,ICN,2.12,-2.0,1,75,12,11,9
TROPEA,ICN,5.641221374045801,-1.0,2,131,38,31,20
UDINE,ICN,6.072368421052632,2.0,5,152,59,41,28
VENEZIA SANTA LUCIA,ICN,4.3881578947368425,1.0,5,152,42,38,22
VERONA PORTA NUOVA,ICN,1.7804878048780488,-4.0,2,41,12,10,9
VIAREGGIO,ICN,5.673758865248227,-4.0,4,141,34,32,26
VIBO VALENZIA PIZZO,ICN,15.295774647887324,12.0,2,71,53,50,37
