shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_2_1,43.799229,7.700633,132,8859.284
shp_2_1,43.799606,7.701231,133,8923.136
shp_2_1,43.802181,7.705021,134,9341.136
shp_2_1,43.802849,7.706074,135,9453.856
shp_2_1,43.803387,7.707041,136,9552.081
shp_2_1,43.803947,7.7081,137,9657.557
shp_2_1,43.80444,7.709118,138,9755.868
shp_2_1,43.804768,7.709836,139,9824.144
shp_2_1,43.805073,7.710567,140,9891.948
shp_2_1,43.805367,7.711357,141,9963.407
shp_2_1,43.805779,7.71257,142,10071.181
shp_2_1,43.806187,7.713828,143,10181.854
shp_2_1,43.806602,7.71524,144,10304.416
shp_2_1,43.82122,7.766707,145,14747.389
shp_2_1,43.82122,7.766707,146,14747.389
shp_2_1,43.822899,7.772618,147,15257.531
shp_2_1,43.829346,7.795481,148,17229.063
shp_2_1,43.840595,7.835651,149,20689.205
shp_2_1,43.840595,7.835651,150,20689.205
shp_2_1,43.880508,8.019182,151,36075.688
shp_2_1,43.880508,8.019182,152,36075.688
shp_2_1,44.007992,8.171279,153,54784.191
shp_2_1,44.007992,8.171279,154,54784.191
shp_2_1,44.008968,8.172413,155,54925.84
shp_2_1,44.009544,8.173057,156,55008.246
shp_2_1,44.009674,8.173235,157,55028.594
shp_2_1,44.010044,8.173637,158,55080.84
shp_2_1,44.010422,8.174187,159,55141.695
shp_2_1,44.010921,8.175257,160,55243.668
shp_2_1,44.011223,8.176006,161,55312.523
shp_2_1,44.011654,8.176882,162,55397.473
shp_2_1,44.01186,8.1772,163,55431.785
shp_2_1,44.013073,8.178663,164,55610.605
shp_2_1,44.013809,8.179872,165,55737.363
shp_2_1,44.013958,8.180185,166,55767.375
shp_2_1,44.014133,8.180655,167,55809.773
shp_2_1,44.014591,8.181944,168,55924.934
shp_2_1,44.015091,8.18339,169,56053.238
shp_2_1,44.015476,8.184615,170,56160.328
shp_2_1,44.015591,8.185072,171,56198.969
shp_2_1,44.015934,8.186529,172,56321.801
shp_2_1,44.01622,8.187613,173,56414.281
shp_2_1,44.01664,8.188659,174,56510.055
shp_2_1,44.017132,8.189697,175,56609.746
shp_2_1,44.017399,8.190193,176,56659.375
shp_2_1,44.017712,8.190537,177,56703.531
shp_2_1,44.018295,8.191092,178,56782.289
shp_2_1,44.018791,8.191335,179,56840.926
shp_2_1,44.019405,8.19152,180,56910.844
shp_2_1,44.020485,8.191731,181,57032.027
shp_2_1,44.020954,8.191838,182,57085.105
shp_2_1,44.021332,8.191992,183,57129.047
shp_2_1,44.021938,8.192346,184,57202.156
shp_2_1,44.022285,8.19265,185,57247.711
shp_2_1,44.02272,8.193113,186,57308.777
shp_2_1,44.023144,8.193614,187,57370.523
shp_2_1,44.023716,8.194263,188,57452.82
shp_2_1,44.024178,8.194939,189,57527.438
shp_2_1,44.024509,8.195539,190,57588.203
shp_2_1,44.025181,8.196891,191,57719.609
shp_2_1,44.025803,8.197828,192,57821.711
shp_2_1,44.026737,8.198855,193,57954.113
shp_2_1,44.027096,8.199175,194,58001.848
shp_2_1,44.027504,8.199476,195,58053.027
shp_2_1,44.027802,8.199716,196,58091.324
shp_2_1,44.028202,8.200086,197,58144.988
shp_2_1,44.028568,8.200436,198,58194.285
shp_2_1,44.029076,8.200827,199,58258.758
shp_2_1,44.02961,8.201167,200,58324.262
shp_2_1,44.030361,8.20168,201,58417.68
shp_2_1,44.030827,8.202155,202,58481.895
shp_2_1,44.031441,8.202796,203,58567.113
shp_2_1,44.031544,8.202934,204,58583.281
shp_2_1,44.032143,8.203788,205,58678.582
shp_2_1,44.036003,8.209536,206,59308.043
shp_2_1,44.036667,8.210585,207,59419.871
shp_2_1,44.037819,8.212435,208,59615.801
shp_2_1,44.038322,8.213224,209,59700.457
shp_2_1,44.038746,8.213807,210,59766.672
shp_2_1,44.039383,8.214528,211,59858.137
shp_2_1,44.040268,8.21545,212,59981.121
shp_2_1,44.041607,8.216873,213,60168.574
shp_2_1,44.04261,8.217956,214,60310.074
shp_2_1,44.042679,8.218019,215,60319.172
shp_2_1,44.042877,8.21823,216,60346.875
shp_2_1,44.043228,8.218562,217,60394.281
shp_2_1,44.043533,8.218826,218,60434.434
shp_2_1,44.04454,8.219614,219,60562.848
shp_2_1,44.044849,8.21984,220,60601.914
shp_2_1,44.045185,8.220056,221,60642.758
shp_2_1,44.045872,8.220531,222,60728.316
shp_2_1,44.046665,8.221096,223,60827.313
shp_2_1,44.047291,8.221585,224,60907.23
shp_2_1,44.047291,8.221585,225,60907.23
shp_2_1,44.047707,8.221901,226,60960.16
shp_2_1,44.051067,8.224545,227,61390.0
shp_2_1,44.051655,8.224981,228,61464.133
shp_2_1,44.051868,8.225124,229,61490.457
shp_2_1,44.052071,8.225239,230,61514.684
shp_2_1,44.052292,8.22535,231,61540.848
shp_2_1,44.05262,8.225487,232,61578.934
shp_2_1,44.052929,8.225575,233,61614.293
shp_2_1,44.053219,8.225619,234,61646.621
shp_2_1,44.05349,8.225637,235,61676.836
shp_2_1,44.053684,8.225635,236,61698.5
shp_2_1,44.054146,8.2256,237,61750.09
shp_2_1,44.055809000000004,8.225424,238,61935.578
shp_2_1,44.05661,8.22533,239,62025.18
shp_2_1,44.057278,8.225271,240,62099.527
shp_2_1,44.058529,8.225201,241,62239.16
shp_2_1,44.06081,8.225102,242,62492.922
shp_2_1,44.061901,8.225047,243,62614.441
shp_2_1,44.064949,8.224938,244,62953.777
shp_2_1,44.065445,8.224953,245,63008.992
shp_2_1,44.065891,8.224997,246,63058.828
shp_2_1,44.06691,8.225113,247,63172.582
shp_2_1,44.07003,8.225488,248,63521.488
shp_2_1,44.071072,8.225597,249,63637.801
shp_2_1,44.073681,8.225914,250,63929.238
shp_2_1,44.074764,8.226036,251,64050.348
shp_2_1,44.081223,8.226801,252,64771.922
shp_2_1,44.082256,8.226932,253,64887.266
shp_2_1,44.08271,8.227015,254,64938.078
shp_2_1,44.083191,8.22714,255,64992.598
shp_2_1,44.083641,8.227282,256,65044.02
shp_2_1,44.084015,8.22742,257,65086.914
shp_2_1,44.085697,8.228001,258,65279.996
shp_2_1,44.089737,8.229445,259,65744.57
shp_2_1,44.093235,8.230651,260,66145.516
shp_2_1,44.094143,8.230984,261,66250.203
shp_2_1,44.094547,8.231124,262,66296.516
shp_2_1,44.095634,8.231526,263,66421.5
shp_2_1,44.09594,8.231663,264,66457.164
shp_2_1,44.09621,8.231818,265,66490.078
shp_2_1,44.096565,8.232037,266,66532.992
shp_2_1,44.096996,8.232331,267,66586.594
shp_2_1,44.097382,8.232635,268,66635.711
shp_2_1,44.097736,8.232959,269,66683.125
shp_2_1,44.098946,8.234148,270,66847.742
shp_2_1,44.09988,8.235075,271,66975.594
shp_2_1,44.100433,8.235636,272,67051.641
shp_2_1,44.100796,8.236023,273,67102.594
shp_2_1,44.101139,8.236367,274,67149.531
shp_2_1,44.10149,8.236691,275,67196.563
shp_2_1,44.101948,8.237045,276,67255.031
shp_2_1,44.102268,8.237262,277,67294.469
shp_2_1,44.102573,8.237455,278,67332.0
shp_2_1,44.104366,8.238451,279,67546.609
shp_2_1,44.104679,8.23864,280,67584.57
shp_2_1,44.104935,8.238823,281,67616.578
shp_2_1,44.106232,8.23997,282,67787.797
shp_2_1,44.106991,8.240595,283,67885.875
shp_2_1,44.108273,8.241632,284,68051.078
shp_2_1,44.109043,8.242277,285,68151.141
shp_2_1,44.112091,8.244789,286,68545.109
shp_2_1,44.112373,8.245015,287,68581.32
shp_2_1,44.113338,8.245829,288,68706.867
shp_2_1,44.113403,8.245874,289,68714.969
shp_2_1,44.115894,8.24791,290,69036.508
shp_2_1,44.116314,8.248268,291,69091.391
shp_2_1,44.116581,8.248507,292,69126.75
shp_2_1,44.116776,8.248693,293,69153.188
shp_2_1,44.117344,8.249288,294,69232.227
shp_2_1,44.11879,8.250946,295,69440.742
shp_2_1,44.119801,8.252079,296,69585.0
shp_2_1,44.120358,8.252732,297,69666.266
shp_2_1,44.120777,8.253186,298,69725.32
shp_2_1,44.121243,8.253619,299,69787.734
shp_2_1,44.121506,8.253824,300,69821.086
shp_2_1,44.121799,8.254033,301,69857.828
shp_2_1,44.122089,8.254223,302,69893.305
shp_2_1,44.12244,8.25442,303,69935.695
shp_2_1,44.123947,8.255223,304,70115.305
shp_2_1,44.124508,8.255503,305,70181.406
shp_2_1,44.124928,8.255732,306,70231.844
shp_2_1,44.125584,8.256116,307,70311.0
shp_2_1,44.126141,8.256464,308,70378.688
shp_2_1,44.126457,8.256685,309,70418.352
shp_2_1,44.127037,8.257102,310,70490.898
shp_2_1,44.127438,8.257404,311,70541.547
shp_2_1,44.128189,8.258018,312,70638.805
shp_2_1,44.129005,8.258715,313,70745.148
shp_2_1,44.130043,8.259685,314,70884.195
shp_2_1,44.130554,8.26019,315,70953.984
shp_2_1,44.13105,8.260666,316,71021.07
shp_2_1,44.132462,8.26209,317,71215.063
shp_2_1,44.134296,8.263906,318,71465.695
shp_2_1,44.135971,8.265549,319,71693.734
shp_2_1,44.137005,8.266586,320,71835.602
shp_2_1,44.137196,8.266788,321,71862.219
shp_2_1,44.138653,8.268217,322,72060.406
shp_2_1,44.139263,8.268859,323,72145.633
shp_2_1,44.139492,8.269106,324,72177.688
shp_2_1,44.13998,8.269658,325,72247.766
shp_2_1,44.140812,8.270691,326,72371.914
shp_2_1,44.141277,8.271289,327,72442.43
shp_2_1,44.141899,8.27215,328,72539.844
shp_2_1,44.142845,8.273563,329,72694.18
shp_2_1,44.143787,8.274994,330,72849.266
shp_2_1,44.145397,8.277469,331,73116.273
shp_2_1,44.14576,8.278003,332,73174.773
shp_2_1,44.145969,8.27829,333,73207.57
shp_2_1,44.146137,8.278506,334,73233.156
shp_2_1,44.14645,8.278876,335,73278.773
shp_2_1,44.146709,8.279157,336,73315.258
shp_2_1,44.147087,8.279542,337,73367.422
shp_2_1,44.14819,8.2806,338,73516.313
shp_2_1,44.149136,8.281569,339,73647.031
shp_2_1,44.149345,8.281816,340,73677.727
shp_2_1,44.149502,8.282021,341,73701.563
shp_2_1,44.149666,8.282254,342,73727.648
shp_2_1,44.149986,8.282754,343,73781.094
shp_2_1,44.150269,8.283279,344,73833.57
shp_2_1,44.15044,8.283641,345,73868.258
shp_2_1,44.150593,8.284008,346,73902.109
shp_2_1,44.15094,8.284956,347,73987.156
shp_2_1,44.151497,8.286706,348,74140.125
shp_2_1,44.152061,8.288653,349,74307.781
shp_2_1,44.152672,8.290665,350,74482.188
shp_2_1,44.154114,8.295347,351,74889.117
shp_2_1,44.156143,8.301988,352,75465.711
shp_2_1,44.156281,8.302475,353,75507.523
shp_2_1,44.156437,8.303089,354,75559.625
shp_2_1,44.156742,8.30447,355,75674.945
shp_2_1,44.15773,8.309073,356,76058.656
shp_2_1,44.158241,8.311417,357,76254.336
shp_2_1,44.159027,8.315124,358,76563.047
shp_2_1,44.159691,8.318547,359,76846.164
shp_2_1,44.160019,8.320294,360,76990.508
shp_2_1,44.160126,8.320928,361,77042.406
shp_2_1,44.160339,8.322374,362,77160.344
shp_2_1,44.16074,8.32522,363,77391.938
shp_2_1,44.160858,8.325803,364,77440.242
shp_2_1,44.160984,8.326274,365,77480.391
shp_2_1,44.161274,8.327022,366,77548.344
shp_2_1,44.161522,8.327521,367,77596.766
shp_2_1,44.164501,8.332598,368,78120.531
shp_2_1,44.167511,8.337404,369,78630.094
shp_2_1,44.168232,8.338659,370,78758.578
shp_2_1,44.169189,8.340442,371,78936.359
shp_2_1,44.169189,8.340442,372,78936.359
shp_2_1,44.16967,8.341352,373,79026.555
shp_2_1,44.170933,8.343686,374,79260.078
shp_2_1,44.171299,8.344276,375,79322.398
shp_2_1,44.171448,8.34453,376,79348.563
shp_2_1,44.174305,8.349781,377,79874.828
shp_2_1,44.175194,8.351428,378,80039.25
shp_2_1,44.175472,8.351923,379,80089.594
shp_2_1,44.175705,8.352314,380,80130.18
shp_2_1,44.17598,8.352757,381,80176.852
shp_2_1,44.176231,8.353141,382,80218.328
shp_2_1,44.176563,8.353621,383,80271.422
shp_2_1,44.176872,8.354043,384,80319.578
shp_2_1,44.177216,8.354491,385,80372.164
shp_2_1,44.178349,8.355893,386,80540.609
shp_2_1,44.18869,8.368924,387,82092.422
shp_2_1,44.192402,8.373614,388,82649.766
shp_2_1,44.195198,8.377182,389,83071.898
shp_2_1,44.195961,8.378173,390,83187.914
shp_2_1,44.196075,8.378308,391,83204.641
shp_2_1,44.19622,8.378514,392,83227.547
shp_2_1,44.196663,8.379084,393,83294.523
shp_2_1,44.202019,8.3861,394,84112.57
shp_2_1,44.207207,8.393085,395,84915.094
shp_2_1,44.214672,8.402751,396,86048.969
shp_2_1,44.215405,8.403594,397,86154.617
shp_2_1,44.216141,8.404366,398,86257.023
shp_2_1,44.21769,8.405729,399,86460.859
shp_2_1,44.218369,8.406269,400,86548.109
shp_2_1,44.218998,8.4067,401,86625.844
shp_2_1,44.220764,8.407763,402,86839.945
shp_2_1,44.223827,8.409508,403,87208.641
shp_2_1,44.224709,8.409995,404,87314.164
shp_2_1,44.226482,8.41093,405,87524.992
shp_2_1,44.227337,8.411396,406,87627.281
shp_2_1,44.228024,8.411759,407,87709.055
shp_2_1,44.22937,8.412461,408,87868.797
shp_2_1,44.229767,8.412657,409,87915.789
shp_2_1,44.231243,8.41341,410,88090.672
shp_2_1,44.236614,8.416247,411,88729.977
shp_2_1,44.237625,8.416671,412,88847.742
shp_2_1,44.238644,8.416974,413,88963.328
shp_2_1,44.239616,8.417152,414,89072.859
shp_2_1,44.241065999999996,8.417376,415,89234.953
shp_2_1,44.242905,8.417575,416,89440.477
shp_2_1,44.244202,8.417681,417,89585.086
shp_2_1,44.24548,8.417769,418,89727.258
shp_2_1,44.246861,8.417881,419,89881.492
shp_2_1,44.253342,8.418321,420,90603.75
shp_2_1,44.259354,8.418899,421,91274.711
shp_2_1,44.260456,8.419018,422,91397.484
shp_2_1,44.261497,8.419186,423,91514.367
shp_2_1,44.262928,8.419494,424,91675.344
shp_2_1,44.263401,8.419628,425,91729.094
shp_2_1,44.26392,8.419807,426,91788.516
shp_2_1,44.264198,8.419914,427,91820.703
shp_2_1,44.264774,8.420186,428,91888.508
shp_2_1,44.265347,8.420495,429,91956.719
shp_2_1,44.268353,8.422068,430,92313.984
shp_2_1,44.26952,8.422723,431,92454.352
shp_2_1,44.271076,8.423551,432,92639.57
shp_2_1,44.272774,8.424494,433,92842.969
shp_2_1,44.273415,8.424877,434,92920.578
shp_2_1,44.273914,8.425231,435,92983.016
shp_2_1,44.274403,8.425601,436,93044.625
shp_2_1,44.274876,8.426024,437,93107.484
shp_2_1,44.275391,8.426544,438,93178.227
shp_2_1,44.275856,8.427087,439,93245.656
shp_2_1,44.27623,8.427545,440,93300.844
shp_2_1,44.276569,8.427999,441,93353.375
shp_2_1,44.276909,8.428516,442,93409.07
shp_2_1,44.27729,8.429179,443,93476.891
shp_2_1,44.27766,8.429873,444,93545.977
shp_2_1,44.277969,8.430552,445,93610.188
shp_2_1,44.278263,8.431239,446,93673.813
shp_2_1,44.278908,8.432864,447,93821.836
shp_2_1,44.281174,8.438837,448,94360.688
shp_2_1,44.281433,8.439541,449,94423.773
shp_2_1,44.2817,8.440155,450,94481.031
shp_2_1,44.281902,8.440596,451,94522.781
shp_2_1,44.282124,8.441012,452,94564.0
shp_2_1,44.282326,8.441379,453,94600.813
shp_2_1,44.282993,8.442513,454,94717.953
shp_2_1,44.283581,8.443446,455,94816.945
shp_2_1,44.283947,8.443996,456,94876.844
shp_2_1,44.284252,8.444414,457,94924.375
shp_2_1,44.284622,8.444859,458,94978.797
shp_2_1,44.284889,8.445166,459,95017.242
