stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
LA SPEZIA CENTRALE,,4.351824817518248,3.0,18,1370,605,382,142,44.11141,9.813906
LATISANA LIGNANO B.,,2.5131964809384164,1.0,5,341,91,61,18,45.777733,13.001101
LECCE,,4.359696641386782,0.0,13,923,323,265,170,40.34566,18.165724
LIVORNO CENTRALE,,4.351851851851852,2.0,11,864,339,220,85,43.55406,10.336593
MARATEA,,6.651162790697675,4.0,2,172,89,64,38,39.995028,15.70975
MILANO CENTRALE,,6.118367346938776,3.0,89,6860,2926,2176,1288,45.486347,9.204528
MILANO ROGOREDO,,4.555678793256433,2.0,58,4508,1737,1235,606,45.433866,9.2391
MODENA,,8.50233644859813,6.0,21,1712,1210,961,503,44.654461,10.930373
MONTECALVO BUONALBERGO CASALB.,,27.333333333333332,28.0,1,3,3,3,3,41.2211,14.9795
NAPOLI CENTRALE,,5.786794130724767,3.0,61,4498,2047,1587,919,40.852933,14.272908
ORSARA DI PUGLIA,,73.0,58.0,1,2,2,2,2,41.241899,15.27766
ORTE,,0.14201183431952663,-2.0,2,169,28,19,9,42.43728,12.408986
PADOVA,,2.2542638357117997,0.0,69,5746,1207,772,360,45.417846,11.880794
PALAZZOLO SULL`OGLIO,,-2.03125,-3.0,3,32,3,0,0,45.601486,9.896235
PAOLA,,2.046511627906977,-1.0,18,1376,363,259,144,39.359442,16.033093
PAVIA,,6.177464788732395,4.0,5,355,189,130,59,45.188843,9.144674
PORTOGRUARO CAORLE,,1.5277777777777777,1.0,2,180,34,14,7,45.781438,12.832375
POTENZA CENTRALE,,0.14285714285714285,-3.0,2,77,7,6,5,40.629469,15.806808
RAPALLO,,8.0,7.0,6,33,25,19,9,44.351398,9.231282
RAVENNA,,5.686746987951807,2.0,1,83,31,19,12,44.419155,12.208404
RHO FIERA MILANO,,4.060215053763441,2.0,24,1395,506,305,146,,
RICCIONE,,9.867605633802818,6.0,7,355,223,188,122,43.999218,12.658549
RIMINI,,5.145361265498076,2.0,30,2339,1005,825,543,44.064176,12.574093
RIMINIFIERA,,9.944444444444445,5.0,12,126,78,63,42,,
ROMA S.PIETRO,,2.0,0.0,4,4,2,0,0,41.896143,12.454497
ROMA TIBURTINA,,3.141520467836257,1.0,99,7695,2365,1626,792,41.910903,12.530749
ROSARNO,,4.113787375415282,1.0,16,1204,364,267,127,38.488593,15.970149
ROVERETO,,4.573473282442748,4.0,12,1048,538,316,89,45.890985,11.033518
S. DONA` DI PIAVE,,-0.9337016574585635,-2.0,3,181,29,16,8,45.63983,12.559791
S.BENEDETTO DEL TRONTO,,9.162650602409638,5.0,12,996,587,469,289,42.954386,13.882297
SALERNO,,2.9123931623931623,0.0,28,2340,743,599,363,40.675137,14.772822
SARZANA,,4.126436781609195,3.0,2,174,79,51,16,44.108865,9.960657
SCALEA S.DOMENICA TALAO,,6.8664772727272725,4.0,6,352,204,144,72,39.8083,15.80139
SIBARI,,8.741176470588234,6.0,1,85,47,44,31,39.749863,16.456922
TERMOLI,,6.102367242482406,2.0,21,1563,687,549,361,42.000623,14.992805
TERNI,,4.042553191489362,0.0,2,94,24,17,11,42.570768,12.651091
TORINO LINGOTTO,,1.8491620111731844,1.0,2,179,38,27,10,45.0266,7.657469
TREVISO C.,,1.9498525073746313,0.0,4,339,72,35,12,45.659608,12.24614
TRIESTE AIRPORT,,1.3565891472868217,-1.0,7,516,91,57,24,,
UDINE,,0.030303030303030304,-2.0,2,165,23,15,10,46.055791,13.242003
VALLE DI MADDALONI,,42.0,41.0,1,3,3,3,3,41.087558,14.426049
VENEZIA MESTRE,,1.5346752368064953,0.0,72,5912,948,590,324,45.482123,12.232069
VENEZIA SANTA LUCIA,,2.7864992150706436,1.0,33,2548,558,351,209,45.441569,12.320882
VERONA PORTA NUOVA,,3.7843691148775895,2.0,51,4248,1625,1032,385,45.428603,10.982377
VIAREGGIO,,5.274157303370787,3.0,11,890,445,308,112,43.865947,10.257886
VIBO VALENZIA PIZZO,,4.334763948497854,1.0,8,699,203,153,75,38.714593,16.139887
