stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
FIRENZE CAMPO MARTE,,Mon,4.775,4.0,9,80,43,29,5,43.776856,11.27702
FIRENZE S.M.N.,,Mon,4.775158658204896,3.0,90,1103,500,334,141,43.776893,11.247373
FIUMICINO AEROPORTO,,Mon,0.5769230769230769,-1.0,4,52,5,2,1,41.793673,12.251728
GIOIA TAURO,,Mon,3.9615384615384617,-1.0,4,52,9,7,6,38.423436,15.897516
GROSSETO,,Mon,3.3615384615384616,1.0,11,130,44,30,10,42.76728,11.1065
JESI,,Mon,5.608695652173913,0.0,2,23,8,4,3,43.520164,13.251316
MILANO CENTRALE,,Mon,6.286127167630058,3.0,86,1038,448,341,188,45.486347,9.204528
ORTE,,Mon,-1.2692307692307692,-3.0,2,26,3,3,0,42.43728,12.408986
PESCARA,,Mon,7.388888888888889,4.0,21,252,133,106,59,42.467789,14.205066
PIACENZA,,Mon,5.9,4.0,5,60,31,23,11,45.052238,9.70633
POTENZA CENTRALE,,Mon,-0.8181818181818182,-3.0,1,11,2,2,1,40.629469,15.806808
RAVENNA,,Mon,11.166666666666666,0.0,1,12,6,4,4,44.419155,12.208404
RIMINI,,Mon,5.891812865497076,2.0,29,342,154,129,85,44.064176,12.574093
RIMINIFIERA,,Mon,17.954545454545453,12.0,11,22,16,15,12,,
S.BENEDETTO DEL TRONTO,,Mon,9.047619047619047,5.0,12,147,84,70,41,42.954386,13.882297
SALERNO,,Mon,4.48695652173913,0.0,28,345,133,110,62,40.675137,14.772822
SAPRI,,Mon,4.441558441558442,1.0,6,77,26,22,12,40.078013,15.627204
SIBARI,,Mon,9.25,6.0,1,12,8,7,4,39.749863,16.456922
SPOLETO,,Mon,6.6,3.0,2,25,8,6,3,42.748121,12.736142
TERNI,,Mon,4.6,2.0,2,15,5,3,2,42.570768,12.651091
TERONTOLA CORTONA,,Mon,2.423076923076923,1.0,2,26,8,5,1,43.210263,12.007906
TRENTO,,Mon,5.690322580645161,3.0,12,155,65,36,14,46.072414,11.118941
TREVISO C.,,Mon,1.588235294117647,-1.0,4,51,11,7,4,45.659608,12.24614
TRIESTE CENTRALE,,Mon,4.368421052631579,-2.0,4,38,7,5,2,45.657456,13.771873
VIAREGGIO,,Mon,5.1,3.0,11,130,64,44,15,43.865947,10.257886
VILLA SAN GIOVANNI,,Mon,3.292134831460674,-1.0,16,178,42,34,21,38.216638,15.634336
BARLETTA,,Mon,8.081232492997199,3.0,30,357,174,149,105,41.315227,16.278867
BERGAMO,,Mon,-2.6666666666666665,-3.0,3,36,3,1,1,45.690271,9.675082
BOLOGNA C.LE/AV,,Mon,3.509916826615483,1.0,127,1563,535,375,179,44.50626,11.342267
BRESCIA,,Mon,3.1841584158415843,2.0,40,505,187,104,31,45.532315,10.212828
CAMPIGLIA MARITTIMA,,Mon,2.876923076923077,1.0,11,130,40,26,9,43.017118,10.586558
CASSINO,,Mon,2.6153846153846154,1.0,2,26,8,5,2,41.484306,13.832125
CHIUSI C.T.,,Mon,12.5,8.0,2,2,2,2,1,43.002466,11.957893
DESENZANO,,Mon,3.960698689956332,3.0,18,229,95,56,14,45.462677,10.536322
FERRANDINA,,Mon,-0.7272727272727273,-1.0,1,11,0,0,0,40.516566,16.475276
FERRARA,,Mon,4.491909385113269,3.0,25,309,123,69,29,44.843047,11.603594
FORLI`,,Mon,8.885135135135135,6.0,13,148,91,81,53,44.22413,12.054871
FROSINONE,,Mon,1.3846153846153846,1.0,2,26,6,3,1,41.625333,13.328728
GIOIA DEL COLLE,,Mon,1.6923076923076923,0.0,2,26,4,4,4,40.796983,16.916569
GIULIANOVA,,Mon,4.913043478260869,3.0,2,23,9,8,4,42.751673,13.965743
MARATEA,,Mon,5.6,4.0,2,25,13,9,5,39.995028,15.70975
MASSA CENTRO,,Mon,3.8333333333333335,3.0,13,156,61,41,15,44.023741,10.136041
MILANO PORTA GARIBALDI,,Mon,4.685990338164252,2.0,17,207,74,47,21,45.484917,9.187683
MODENA,,Mon,9.53225806451613,6.0,21,248,181,144,83,44.654461,10.930373
PADOVA,,Mon,2.340400471142521,1.0,67,849,185,123,48,45.417846,11.880794
PAVIA,,Mon,6.96,5.0,5,50,30,23,11,45.188843,9.144674
PESARO,,Mon,8.59621451104101,5.0,27,317,178,135,99,43.906014,12.904848
PISA CENTRALE,,Mon,4.0144927536231885,3.0,17,207,86,56,18,43.70794,10.398183
RAPALLO,,Mon,7.5,7.0,3,4,4,3,0,44.351398,9.231282
ROMA TIBURTINA,,Mon,3.5948352626892253,2.0,97,1123,371,248,117,41.910903,12.530749
S. DONA` DI PIAVE,,Mon,-0.2692307692307692,-1.0,2,26,8,3,1,45.63983,12.559791
TORINO P.NUOVA,,Mon,5.670175438596491,1.0,23,285,97,71,42,45.060969,7.67747
TRIESTE AIRPORT,,Mon,2.2337662337662336,0.0,7,77,19,12,6,,
VENEZIA SANTA LUCIA,,Mon,2.546916890080429,1.0,30,373,76,51,28,45.441569,12.320882
